"Date","MTCARB9LFN"
2013-06-01,5459
2013-07-01,5416
2013-08-01,5391
2013-09-01,5359
2013-10-01,5396
2013-11-01,5420
2013-12-01,5352
2014-01-01,5293
2014-02-01,5330
2014-03-01,5349
2014-04-01,5371
2014-05-01,5442
2014-06-01,5443
2014-07-01,5451
2014-08-01,5421
2014-09-01,5400
2014-10-01,5406
2014-11-01,5406
2014-12-01,5370
2015-01-01,5362
2015-02-01,5362
2015-03-01,5406
2015-04-01,5416
2015-05-01,5478
2015-06-01,5493
2015-07-01,5498
2015-08-01,5458
2015-09-01,5396
2015-10-01,5440
2015-11-01,5429
2015-12-01,5393
2016-01-01,5395
2016-02-01,5449
2016-03-01,5487
2016-04-01,5434
2016-05-01,5477
2016-06-01,5447
2016-07-01,5454
2016-08-01,5422
2016-09-01,5388
2016-10-01,5378
2016-11-01,5375
2016-12-01,5301
2017-01-01,5481
2017-02-01,5520
2017-03-01,5540
2017-04-01,5572
2017-05-01,5612
2017-06-01,5576
2017-07-01,5578
2017-08-01,5549
2017-09-01,5541
2017-10-01,5491
2017-11-01,5505
2017-12-01,5453
2018-01-01,5442
2018-02-01,5507
2018-03-01,5525
2018-04-01,5562
2018-05-01,5566
2018-06-01,5535
2018-07-01,5532
2018-08-01,5515
2018-09-01,5518
2018-10-01,5557
2018-11-01,5613
2018-12-01,5557
2019-01-01,5559
2019-02-01,5524
2019-03-01,5552
2019-04-01,5521
2019-05-01,5515
2019-06-01,5514
2019-07-01,5520
2019-08-01,5555
2019-09-01,5555
2019-10-01,5580
2019-11-01,5639
2019-12-01,5607
2020-01-01,5682
2020-02-01,5718
2020-03-01,5684
2020-04-01,5669
2020-05-01,5619
2020-06-01,5654
2020-07-01,5654
2020-08-01,5683
2020-09-01,5626
2020-10-01,5719
2020-11-01,5654
2020-12-01,5591
2021-01-01,5595
2021-02-01,5612
2021-03-01,5644
2021-04-01,5677
2021-05-01,5655
2021-06-01,5690
2021-07-01,5701
2021-08-01,5685
2021-09-01,5591
2021-10-01,5686
2021-11-01,5712
2021-12-01,5693
2022-01-01,5712
2022-02-01,5767
2022-03-01,5841
2022-04-01,5859
2022-05-01,5852
2022-06-01,5837
2022-07-01,5807
2022-08-01,5820
2022-09-01,5760
2022-10-01,5757
2022-11-01,5754
2022-12-01,5740
2023-01-01,5749
2023-02-01,5755
2023-03-01,5823
2023-04-01,5816
2023-05-01,5826
2023-06-01,5813
2023-07-01,5809
2023-08-01,5810
2023-09-01,5787
2023-10-01,5807
