"Date","ADAP1819W"
2009-12-01,25.8
2010-01-01,35.9
2010-02-01,NA
2010-03-01,9.6
2010-04-01,NA
2010-05-01,21.6
2010-06-01,29.8
2010-07-01,NA
2010-08-01,NA
2010-09-01,NA
2010-10-01,NA
2010-11-01,NA
2010-12-01,NA
2011-01-01,46.1
2011-02-01,NA
2011-03-01,NA
2011-04-01,NA
2011-05-01,NA
2011-06-01,NA
2011-07-01,11.6
2011-08-01,NA
2011-09-01,54.7
2011-10-01,14.1
2011-11-01,NA
2011-12-01,NA
2012-01-01,NA
2012-02-01,10.8
2012-03-01,52
2012-04-01,NA
2012-05-01,20.8
2012-06-01,29.4
2012-07-01,20.4
2012-08-01,NA
2012-09-01,NA
2012-10-01,NA
2012-11-01,NA
2012-12-01,NA
2013-01-01,NA
2013-02-01,NA
2013-03-01,11.3
2013-04-01,NA
2013-05-01,27.7
2013-06-01,25.4
2013-07-01,12.1
2013-08-01,32.3
2013-09-01,30.8
2013-10-01,NA
2013-11-01,NA
2013-12-01,17.4
2014-01-01,NA
2014-02-01,8
2014-03-01,NA
2014-04-01,NA
2014-05-01,32.6
2014-06-01,NA
2014-07-01,19.2
2014-08-01,21.8
2014-09-01,41.8
2014-10-01,NA
2014-11-01,NA
2014-12-01,NA
2015-01-01,NA
2015-02-01,2.7
2015-03-01,3.8
2015-04-01,6.7
2015-05-01,4.6
2015-06-01,NA
2015-07-01,NA
2015-08-01,7.2
2015-09-01,36.6
2015-10-01,NA
2015-11-01,3.1
2015-12-01,NA
2016-01-01,NA
2016-02-01,NA
2016-03-01,NA
2016-04-01,NA
2016-05-01,NA
2016-06-01,12.3
2016-07-01,5.8
2016-08-01,7.8
2016-09-01,37.7
2016-10-01,NA
2016-11-01,NA
2016-12-01,NA
2017-01-01,NA
2017-02-01,7.2
2017-03-01,NA
2017-04-01,NA
2017-05-01,NA
2017-06-01,NA
2017-07-01,NA
2017-08-01,NA
2017-09-01,NA
2017-10-01,NA
2017-11-01,NA
2017-12-01,NA
2018-01-01,NA
2018-02-01,NA
2018-03-01,30.8
2018-04-01,13.1
2018-05-01,10.6
2018-06-01,NA
2018-07-01,5.6
2018-08-01,NA
2018-09-01,30.1
2018-10-01,9.1
2018-11-01,NA
2018-12-01,13.3
2019-01-01,NA
2019-02-01,NA
2019-03-01,NA
2019-04-01,16.9
2019-05-01,NA
2019-06-01,39.7
2019-07-01,13.7
2019-08-01,40.4
2019-09-01,NA
2019-10-01,19.1
2019-11-01,NA
2019-12-01,NA
2020-01-01,25.7
2020-02-01,19.6
2020-03-01,16.4
2020-04-01,11.4
2020-05-01,21.1
2020-06-01,NA
2020-07-01,NA
2020-08-01,NA
2020-09-01,15.6
2020-10-01,13.7
2020-11-01,26.5
2020-12-01,NA
2021-01-01,NA
2021-02-01,NA
2021-03-01,NA
2021-04-01,24.8
2021-05-01,46
2021-06-01,18
2021-07-01,NA
2021-08-01,NA
2021-09-01,NA
2021-10-01,NA
2021-11-01,NA
2021-12-01,3.3
2022-01-01,3
2022-02-01,NA
2022-03-01,NA
2022-04-01,9.8
2022-05-01,5.7
2022-06-01,NA
2022-07-01,18.4
2022-08-01,48.6
2022-09-01,100
2022-10-01,36
2022-11-01,NA
2022-12-01,20.1
2023-01-01,NA
2023-02-01,NA
2023-03-01,NA
2023-04-01,NA
2023-05-01,NA
2023-06-01,NA
2023-07-01,7.1
