"Date","UEMPLT5"
1981-10-01,3656
1981-11-01,3812
1981-12-01,3949
1982-01-01,3924
1982-02-01,3808
1982-03-01,3896
1982-04-01,3951
1982-05-01,3885
1982-06-01,3606
1982-07-01,3929
1982-08-01,3895
1982-09-01,3966
1982-10-01,3873
1982-11-01,3974
1982-12-01,3939
1983-01-01,3654
1983-02-01,3717
1983-03-01,3502
1983-04-01,3539
1983-05-01,3531
1983-06-01,3686
1983-07-01,3459
1983-08-01,3632
1983-09-01,3768
1983-10-01,3491
1983-11-01,3347
1983-12-01,3455
1984-01-01,3309
1984-02-01,3327
1984-03-01,3335
1984-04-01,3362
1984-05-01,3167
1984-06-01,3261
1984-07-01,3392
1984-08-01,3567
1984-09-01,3325
1984-10-01,3423
1984-11-01,3392
1984-12-01,3371
1985-01-01,3667
1985-02-01,3471
1985-03-01,3519
1985-04-01,3499
1985-05-01,3503
1985-06-01,3538
1985-07-01,3555
1985-08-01,3439
1985-09-01,3494
1985-10-01,3424
1985-11-01,3463
1985-12-01,3393
1986-01-01,3333
1986-02-01,3516
1986-03-01,3540
1986-04-01,3598
1986-05-01,3586
1986-06-01,3489
1986-07-01,3446
1986-08-01,3439
1986-09-01,3405
1986-10-01,3416
1986-11-01,3343
1986-12-01,3297
1987-01-01,3390
1987-02-01,3323
1987-03-01,3386
1987-04-01,3162
1987-05-01,3315
1987-06-01,3167
1987-07-01,3217
1987-08-01,3191
1987-09-01,3224
1987-10-01,3241
1987-11-01,3172
1987-12-01,3178
1988-01-01,3086
1988-02-01,3057
1988-03-01,3042
1988-04-01,3107
1988-05-01,3095
1988-06-01,3101
1988-07-01,2998
1988-08-01,3172
1988-09-01,3152
1988-10-01,3106
1988-11-01,3097
1988-12-01,2972
1989-01-01,3146
1989-02-01,3194
1989-03-01,3042
1989-04-01,3110
1989-05-01,3052
1989-06-01,3303
1989-07-01,3173
1989-08-01,3090
1989-09-01,3214
1989-10-01,3218
1989-11-01,3247
1989-12-01,3275
1990-01-01,3189
1990-02-01,3223
1990-03-01,3206
1990-04-01,3269
1990-05-01,3117
1990-06-01,3151
1990-07-01,3221
1990-08-01,3320
1990-09-01,3280
1990-10-01,3347
1990-11-01,3442
1990-12-01,3462
1991-01-01,3470
1991-02-01,3585
1991-03-01,3539
1991-04-01,3400
1991-05-01,3621
1991-06-01,3428
1991-07-01,3422
1991-08-01,3446
1991-09-01,3478
1991-10-01,3473
1991-11-01,3460
1991-12-01,3473
1992-01-01,3398
1992-02-01,3277
1992-03-01,3412
1992-04-01,3296
1992-05-01,3417
1992-06-01,3518
1992-07-01,3438
1992-08-01,3436
1992-09-01,3428
1992-10-01,3356
1992-11-01,3317
1992-12-01,3189
1993-01-01,3299
1993-02-01,3461
1993-03-01,3260
1993-04-01,3350
1993-05-01,3363
1993-06-01,3218
1993-07-01,3292
1993-08-01,3176
1993-09-01,3127
1993-10-01,3336
1993-11-01,3087
1993-12-01,3246
1994-01-01,3184
1994-02-01,2652
1994-03-01,2789
1994-04-01,2842
1994-05-01,2652
1994-06-01,2757
1994-07-01,2820
1994-08-01,2671
1994-09-01,2671
1994-10-01,2424
1994-11-01,2619
1994-12-01,2581
1995-01-01,2764
1995-02-01,2578
1995-03-01,2572
1995-04-01,2730
1995-05-01,2603
1995-06-01,2744
1995-07-01,2627
1995-08-01,2732
1995-09-01,2857
1995-10-01,2725
1995-11-01,2812
1995-12-01,2662
1996-01-01,2725
1996-02-01,2713
1996-03-01,2594
1996-04-01,2530
1996-05-01,2765
1996-06-01,2552
1996-07-01,2672
1996-08-01,2496
1996-09-01,2525
1996-10-01,2477
1996-11-01,2920
1996-12-01,2621
1997-01-01,2758
1997-02-01,2549
1997-03-01,2602
1997-04-01,2439
1997-05-01,2527
1997-06-01,2562
1997-07-01,2402
1997-08-01,2525
1997-09-01,2474
1997-10-01,2566
1997-11-01,2479
1997-12-01,2534
1998-01-01,2587
1998-02-01,2572
1998-03-01,2789
1998-04-01,2628
1998-05-01,2641
1998-06-01,2546
1998-07-01,2593
1998-08-01,2597
1998-09-01,2624
1998-10-01,2823
1998-11-01,2510
1998-12-01,2587
1999-01-01,2462
1999-02-01,2566
1999-03-01,2473
1999-04-01,2781
1999-05-01,2511
1999-06-01,2521
1999-07-01,2643
1999-08-01,2546
1999-09-01,2611
1999-10-01,2536
1999-11-01,2562
1999-12-01,2642
2000-01-01,2541
2000-02-01,2604
2000-03-01,2780
2000-04-01,2510
2000-05-01,2564
2000-06-01,2579
2000-07-01,2498
2000-08-01,2550
2000-09-01,2571
2000-10-01,2497
2000-11-01,2512
2000-12-01,2477
2001-01-01,2648
2001-02-01,2851
2001-03-01,2681
2001-04-01,2972
2001-05-01,2701
2001-06-01,2808
2001-07-01,2642
2001-08-01,2966
2001-09-01,2837
2001-10-01,3111
2001-11-01,3090
2001-12-01,3037
2002-01-01,3044
2002-02-01,2984
2002-03-01,3074
2002-04-01,2932
2002-05-01,2843
2002-06-01,2711
2002-07-01,2891
2002-08-01,2927
2002-09-01,2772
2002-10-01,2765
2002-11-01,2950
2002-12-01,2838
2003-01-01,2856
2003-02-01,2798
2003-03-01,2831
2003-04-01,2794
2003-05-01,2988
2003-06-01,2906
2003-07-01,2720
2003-08-01,2801
2003-09-01,2704
2003-10-01,2710
2003-11-01,2656
2003-12-01,2554
2004-01-01,2685
2004-02-01,2425
2004-03-01,2637
2004-04-01,2780
2004-05-01,2723
2004-06-01,2677
2004-07-01,2820
2004-08-01,2660
2004-09-01,2758
2004-10-01,2732
2004-11-01,2638
2004-12-01,2768
2005-01-01,2635
2005-02-01,2749
2005-03-01,2483
2005-04-01,2688
2005-05-01,2754
2005-06-01,2659
2005-07-01,2568
2005-08-01,2570
2005-09-01,2763
2005-10-01,2719
2005-11-01,2823
2005-12-01,2588
2006-01-01,2527
2006-02-01,2577
2006-03-01,2659
2006-04-01,2665
2006-05-01,2545
2006-06-01,2705
2006-07-01,2721
2006-08-01,2603
2006-09-01,2608
2006-10-01,2616
2006-11-01,2511
2006-12-01,2596
2007-01-01,2561
2007-02-01,2574
2007-03-01,2307
2007-04-01,2456
2007-05-01,2464
2007-06-01,2551
2007-07-01,2502
2007-08-01,2614
2007-09-01,2557
2007-10-01,2545
2007-11-01,2645
2007-12-01,2718
2008-01-01,2554
2008-02-01,2653
2008-03-01,2823
2008-04-01,2493
2008-05-01,3278
2008-06-01,2753
2008-07-01,2854
2008-08-01,3256
2008-09-01,2848
2008-10-01,3170
2008-11-01,3335
2008-12-01,3255
2009-01-01,3524
2009-02-01,3450
2009-03-01,3465
2009-04-01,3338
2009-05-01,3246
2009-06-01,3114
2009-07-01,3137
2009-08-01,2940
2009-09-01,2841
2009-10-01,3223
2009-11-01,2816
2009-12-01,2879
2010-01-01,2921
2010-02-01,2807
2010-03-01,2769
2010-04-01,2725
2010-05-01,2773
2010-06-01,2683
2010-07-01,2806
2010-08-01,2671
2010-09-01,2819
2010-10-01,2655
2010-11-01,2912
2010-12-01,2693
2011-01-01,2686
2011-02-01,2469
2011-03-01,2535
2011-04-01,2787
2011-05-01,2668
2011-06-01,2933
2011-07-01,2632
2011-08-01,2650
2011-09-01,2754
2011-10-01,2668
2011-11-01,2556
2011-12-01,2678
2012-01-01,2474
2012-02-01,2610
2012-03-01,2708
2012-04-01,2624
2012-05-01,2550
2012-06-01,2747
2012-07-01,2662
2012-08-01,2784
2012-09-01,2538
2012-10-01,2635
2012-11-01,2620
2012-12-01,2756
2013-01-01,2780
2013-02-01,2713
2013-03-01,2462
2013-04-01,2487
2013-05-01,2674
2013-06-01,2680
2013-07-01,2493
2013-08-01,2475
2013-09-01,2604
2013-10-01,2823
2013-11-01,2409
2013-12-01,2328
2014-01-01,2473
2014-02-01,2376
2014-03-01,2433
2014-04-01,2424
2014-05-01,2586
2014-06-01,2417
2014-07-01,2601
2014-08-01,2620
2014-09-01,2365
2014-10-01,2494
2014-11-01,2474
2014-12-01,2370
2015-01-01,2393
2015-02-01,2392
2015-03-01,2444
2015-04-01,2716
2015-05-01,2471
2015-06-01,2309
2015-07-01,2574
2015-08-01,2073
2015-09-01,2364
2015-10-01,2372
2015-11-01,2382
2015-12-01,2399
2016-01-01,2166
2016-02-01,2235
2016-03-01,2419
2016-04-01,2594
2016-05-01,2264
2016-06-01,2396
2016-07-01,2203
2016-08-01,2285
2016-09-01,2600
2016-10-01,2434
2016-11-01,2404
2016-12-01,2354
2017-01-01,2424
2017-02-01,2511
2017-03-01,2327
2017-04-01,2324
2017-05-01,2116
2017-06-01,2321
2017-07-01,2075
2017-08-01,2258
2017-09-01,2245
2017-10-01,2126
2017-11-01,2278
2017-12-01,2237
2018-01-01,2214
2018-02-01,2469
2018-03-01,2303
2018-04-01,2142
2018-05-01,1997
2018-06-01,2269
2018-07-01,1968
2018-08-01,2241
2018-09-01,2074
2018-10-01,2055
2018-11-01,2168
2018-12-01,2149
2019-01-01,2303
2019-02-01,2246
2019-03-01,2174
2019-04-01,1942
2019-05-01,2131
2019-06-01,1903
2019-07-01,2102
2019-08-01,2276
2019-09-01,1853
2019-10-01,1946
2019-11-01,2063
2019-12-01,2102
2020-01-01,2016
2020-02-01,2099
2020-03-01,3422
2020-04-01,14232
2020-05-01,3886
2020-06-01,2915
2020-07-01,3142
2020-08-01,2348
2020-09-01,2549
2020-10-01,2490
2020-11-01,2483
2020-12-01,2915
2021-01-01,2250
2021-02-01,2211
2021-03-01,2178
2021-04-01,2377
2021-05-01,2018
2021-06-01,2005
2021-07-01,2246
2021-08-01,2116
2021-09-01,2240
2021-10-01,2075
2021-11-01,1985
2021-12-01,1989
2022-01-01,2428
2022-02-01,2142
2022-03-01,2303
2022-04-01,2242
2022-05-01,2052
2022-06-01,2259
2022-07-01,2086
2022-08-01,2227
2022-09-01,2158
2022-10-01,2215
2022-11-01,2244
2022-12-01,2233
2023-01-01,1946
2023-02-01,2289
2023-03-01,2272
2023-04-01,1866
2023-05-01,2083
2023-06-01,2068
2023-07-01,2004
2023-08-01,2221
2023-09-01,2051
2023-10-01,2268
2023-11-01,2068
