"Date","CASAND5LFN"
2001-09-01,1405202
2001-10-01,1425347
2001-11-01,1425866
2001-12-01,1430988
2002-01-01,1426067
2002-02-01,1441472
2002-03-01,1438337
2002-04-01,1437114
2002-05-01,1435344
2002-06-01,1446128
2002-07-01,1440538
2002-08-01,1444084
2002-09-01,1436880
2002-10-01,1452773
2002-11-01,1450892
2002-12-01,1458262
2003-01-01,1450867
2003-02-01,1454513
2003-03-01,1452723
2003-04-01,1449401
2003-05-01,1442471
2003-06-01,1453911
2003-07-01,1458048
2003-08-01,1461630
2003-09-01,1453267
2003-10-01,1468669
2003-11-01,1469708
2003-12-01,1471557
2004-01-01,1469563
2004-02-01,1474404
2004-03-01,1474008
2004-04-01,1463564
2004-05-01,1461079
2004-06-01,1476478
2004-07-01,1484744
2004-08-01,1485049
2004-09-01,1478928
2004-10-01,1488721
2004-11-01,1489676
2004-12-01,1491379
2005-01-01,1482915
2005-02-01,1486831
2005-03-01,1484034
2005-04-01,1480476
2005-05-01,1483042
2005-06-01,1493018
2005-07-01,1498211
2005-08-01,1497664
2005-09-01,1493372
2005-10-01,1493879
2005-11-01,1493169
2005-12-01,1494236
2006-01-01,1485492
2006-02-01,1489281
2006-03-01,1491427
2006-04-01,1486064
2006-05-01,1482215
2006-06-01,1494369
2006-07-01,1503243
2006-08-01,1504458
2006-09-01,1500881
2006-10-01,1508497
2006-11-01,1517078
2006-12-01,1519526
2007-01-01,1507706
2007-02-01,1512055
2007-03-01,1514858
2007-04-01,1500807
2007-05-01,1503375
2007-06-01,1517436
2007-07-01,1528728
2007-08-01,1521358
2007-09-01,1524722
2007-10-01,1522246
2007-11-01,1528508
2007-12-01,1528235
2008-01-01,1527119
2008-02-01,1527727
2008-03-01,1535266
2008-04-01,1528856
2008-05-01,1533407
2008-06-01,1547768
2008-07-01,1562235
2008-08-01,1558627
2008-09-01,1553443
2008-10-01,1560535
2008-11-01,1561094
2008-12-01,1563319
2009-01-01,1556483
2009-02-01,1563798
2009-03-01,1564906
2009-04-01,1553140
2009-05-01,1550770
2009-06-01,1560354
2009-07-01,1571998
2009-08-01,1569810
2009-09-01,1557875
2009-10-01,1559788
2009-11-01,1565179
2009-12-01,1559841
2010-01-01,1502033
2010-02-01,1505381
2010-03-01,1510941
2010-04-01,1512900
2010-05-01,1509455
2010-06-01,1512274
2010-07-01,1531011
2010-08-01,1532059
2010-09-01,1524828
2010-10-01,1515641
2010-11-01,1518649
2010-12-01,1515167
2011-01-01,1511233
2011-02-01,1515879
2011-03-01,1521191
2011-04-01,1508101
2011-05-01,1510652
2011-06-01,1519922
2011-07-01,1527519
2011-08-01,1527215
2011-09-01,1528856
2011-10-01,1528540
2011-11-01,1530668
2011-12-01,1531167
2012-01-01,1519109
2012-02-01,1528945
2012-03-01,1532127
2012-04-01,1526276
2012-05-01,1531149
2012-06-01,1540519
2012-07-01,1548323
2012-08-01,1541798
2012-09-01,1541400
2012-10-01,1546057
2012-11-01,1542809
2012-12-01,1544586
2013-01-01,1540302
2013-02-01,1538182
2013-03-01,1536919
2013-04-01,1527982
2013-05-01,1531882
2013-06-01,1541598
2013-07-01,1550093
2013-08-01,1538628
2013-09-01,1539293
2013-10-01,1534500
2013-11-01,1538592
2013-12-01,1533755
2014-01-01,1525634
2014-02-01,1534585
2014-03-01,1539898
2014-04-01,1519158
2014-05-01,1526984
2014-06-01,1536896
2014-07-01,1547633
2014-08-01,1541939
2014-09-01,1539141
2014-10-01,1546513
2014-11-01,1550031
2014-12-01,1541731
2015-01-01,1540969
2015-02-01,1543648
2015-03-01,1544231
2015-04-01,1536351
2015-05-01,1547695
2015-06-01,1548047
2015-07-01,1559459
2015-08-01,1551555
2015-09-01,1547616
2015-10-01,1553449
2015-11-01,1557544
2015-12-01,1554969
2016-01-01,1550997
2016-02-01,1561366
2016-03-01,1564757
2016-04-01,1551429
2016-05-01,1554921
2016-06-01,1560614
2016-07-01,1572293
2016-08-01,1567266
2016-09-01,1570501
2016-10-01,1569563
2016-11-01,1570232
2016-12-01,1565016
2017-01-01,1568413
2017-02-01,1573816
2017-03-01,1571027
2017-04-01,1560732
2017-05-01,1561624
2017-06-01,1568848
2017-07-01,1579651
2017-08-01,1570447
2017-09-01,1577407
2017-10-01,1573005
2017-11-01,1575494
2017-12-01,1569035
2018-01-01,1569653
2018-02-01,1582783
2018-03-01,1582497
2018-04-01,1569291
2018-05-01,1573055
2018-06-01,1578054
2018-07-01,1589959
2018-08-01,1575346
2018-09-01,1579866
2018-10-01,1584364
2018-11-01,1587408
2018-12-01,1585165
2019-01-01,1587255
2019-02-01,1593198
2019-03-01,1589882
2019-04-01,1569163
2019-05-01,1571452
2019-06-01,1573723
2019-07-01,1589530
2019-08-01,1580040
2019-09-01,1582828
2019-10-01,1589022
2019-11-01,1589905
2019-12-01,1586940
2020-01-01,1586771
2020-02-01,1601943
2020-03-01,1578792
2020-04-01,1528084
2020-05-01,1504269
2020-06-01,1555514
2020-07-01,1554874
2020-08-01,1536696
2020-09-01,1535295
2020-10-01,1537297
2020-11-01,1528060
2020-12-01,1520298
2021-01-01,1515252
2021-02-01,1533162
2021-03-01,1534990
2021-04-01,1527860
2021-05-01,1533462
2021-06-01,1543689
2021-07-01,1561508
2021-08-01,1556707
2021-09-01,1560466
2021-10-01,1566372
2021-11-01,1572187
2021-12-01,1568289
2022-01-01,1573905
2022-02-01,1583030
2022-03-01,1589441
2022-04-01,1573804
2022-05-01,1581087
2022-06-01,1580475
2022-07-01,1589923
2022-08-01,1591557
2022-09-01,1599976
2022-10-01,1600480
2022-11-01,1603979
2022-12-01,1606945
2023-01-01,1600536
2023-02-01,1611438
2023-03-01,1618219
2023-04-01,1598923
2023-05-01,1595034
2023-06-01,1591607
2023-07-01,1596570
2023-08-01,1592765
2023-09-01,1604403
2023-10-01,1602560
