"Date","LASST060000000000004"
1987-10-01,767028
1987-11-01,763023
1987-12-01,758293
1988-01-01,753067
1988-02-01,748040
1988-03-01,744835
1988-04-01,744246
1988-05-01,745573
1988-06-01,747432
1988-07-01,748960
1988-08-01,749906
1988-09-01,749542
1988-10-01,745964
1988-11-01,739457
1988-12-01,731357
1989-01-01,723744
1989-02-01,719785
1989-03-01,719619
1989-04-01,722753
1989-05-01,728891
1989-06-01,736492
1989-07-01,743736
1989-08-01,749581
1989-09-01,754029
1989-10-01,757598
1989-11-01,761215
1989-12-01,766472
1990-01-01,773352
1990-02-01,780448
1990-03-01,788831
1990-04-01,800505
1990-05-01,816288
1990-06-01,836767
1990-07-01,862854
1990-08-01,893883
1990-09-01,928608
1990-10-01,967139
1990-11-01,1006587
1990-12-01,1044110
1991-01-01,1080046
1991-02-01,1113622
1991-03-01,1141688
1991-04-01,1162138
1991-05-01,1175303
1991-06-01,1182773
1991-07-01,1187186
1991-08-01,1193091
1991-09-01,1205000
1991-10-01,1224569
1991-11-01,1250411
1991-12-01,1278587
1992-01-01,1306267
1992-02-01,1333521
1992-03-01,1360532
1992-04-01,1388062
1992-05-01,1414781
1992-06-01,1439222
1992-07-01,1461373
1992-08-01,1479284
1992-09-01,1491284
1992-10-01,1497394
1992-11-01,1499499
1992-12-01,1498906
1993-01-01,1495242
1993-02-01,1488936
1993-03-01,1481495
1993-04-01,1472664
1993-05-01,1464589
1993-06-01,1458823
1993-07-01,1452439
1993-08-01,1444771
1993-09-01,1436961
1993-10-01,1429923
1993-11-01,1425519
1993-12-01,1422429
1994-01-01,1416840
1994-02-01,1405766
1994-03-01,1389991
1994-04-01,1371564
1994-05-01,1352007
1994-06-01,1332752
1994-07-01,1315057
1994-08-01,1297956
1994-09-01,1278758
1994-10-01,1254741
1994-11-01,1227719
1994-12-01,1204291
1995-01-01,1190065
1995-02-01,1186411
1995-03-01,1191268
1995-04-01,1200807
1995-05-01,1210615
1995-06-01,1217123
1995-07-01,1218949
1995-08-01,1216450
1995-09-01,1211545
1995-10-01,1206878
1995-11-01,1201847
1995-12-01,1196159
1996-01-01,1190086
1996-02-01,1183714
1996-03-01,1175857
1996-04-01,1164759
1996-05-01,1149604
1996-06-01,1132151
1996-07-01,1115238
1996-08-01,1101732
1996-09-01,1093016
1996-10-01,1089174
1996-11-01,1087464
1996-12-01,1083408
1997-01-01,1075072
1997-02-01,1062181
1997-03-01,1045468
1997-04-01,1029487
1997-05-01,1016956
1997-06-01,1007015
1997-07-01,998504
1997-08-01,991127
1997-09-01,983505
1997-10-01,976806
1997-11-01,971868
1997-12-01,968221
1998-01-01,965196
1998-02-01,962664
1998-03-01,960825
1998-04-01,959104
1998-05-01,958862
1998-06-01,961565
1998-07-01,966002
1998-08-01,968820
1998-09-01,968552
1998-10-01,962352
1998-11-01,950645
1998-12-01,936550
1999-01-01,921007
1999-02-01,906329
1999-03-01,893894
1999-04-01,883582
1999-05-01,874630
1999-06-01,866460
1999-07-01,859294
1999-08-01,852416
1999-09-01,845237
1999-10-01,838705
1999-11-01,832871
1999-12-01,828401
2000-01-01,827409
2000-02-01,829093
2000-03-01,832986
2000-04-01,838194
2000-05-01,841652
2000-06-01,841494
2000-07-01,836692
2000-08-01,828468
2000-09-01,818882
2000-10-01,810146
2000-11-01,805968
2000-12-01,807791
2001-01-01,814711
2001-02-01,825373
2001-03-01,838146
2001-04-01,852503
2001-05-01,870439
2001-06-01,894080
2001-07-01,924582
2001-08-01,961820
2001-09-01,1003024
2001-10-01,1043891
2001-11-01,1080251
2001-12-01,1109814
2002-01-01,1131923
2002-02-01,1147179
2002-03-01,1157258
2002-04-01,1163421
2002-05-01,1166443
2002-06-01,1166342
2002-07-01,1165241
2002-08-01,1165400
2002-09-01,1168807
2002-10-01,1175228
2002-11-01,1182316
2002-12-01,1187623
2003-01-01,1191720
2003-02-01,1195523
2003-03-01,1199210
2003-04-01,1203095
2003-05-01,1207445
2003-06-01,1211278
2003-07-01,1210984
2003-08-01,1204364
2003-09-01,1191137
2003-10-01,1174743
2003-11-01,1159542
2003-12-01,1147451
2004-01-01,1138250
2004-02-01,1131027
2004-03-01,1124884
2004-04-01,1117048
2004-05-01,1105690
2004-06-01,1090803
2004-07-01,1074668
2004-08-01,1059007
2004-09-01,1045246
2004-10-01,1033961
2004-11-01,1023714
2004-12-01,1014356
2005-01-01,1004312
2005-02-01,992345
2005-03-01,977902
2005-04-01,962414
2005-05-01,947544
2005-06-01,935707
2005-07-01,928983
2005-08-01,925727
2005-09-01,922886
2005-10-01,917002
2005-11-01,907789
2005-12-01,896203
2006-01-01,883689
2006-02-01,872661
2006-03-01,865781
2006-04-01,864066
2006-05-01,864854
2006-06-01,865321
2006-07-01,863634
2006-08-01,861306
2006-09-01,860513
2006-10-01,860794
2006-11-01,862685
2006-12-01,866627
2007-01-01,873447
2007-02-01,882966
2007-03-01,893587
2007-04-01,904991
2007-05-01,918708
2007-06-01,934882
2007-07-01,953655
2007-08-01,975258
2007-09-01,996969
2007-10-01,1017621
2007-11-01,1035297
2007-12-01,1050424
2008-01-01,1067336
2008-02-01,1089446
2008-03-01,1120620
2008-04-01,1162394
2008-05-01,1213407
2008-06-01,1270266
2008-07-01,1328664
2008-08-01,1387721
2008-09-01,1452458
2008-10-01,1528356
2008-11-01,1616408
2008-12-01,1712936
2009-01-01,1811239
2009-02-01,1904893
2009-03-01,1986140
2009-04-01,2050201
2009-05-01,2099147
2009-06-01,2137559
2009-07-01,2168750
2009-08-01,2194469
2009-09-01,2216222
2009-10-01,2235718
2009-11-01,2256069
2009-12-01,2278113
2010-01-01,2296700
2010-02-01,2307066
2010-03-01,2308593
2010-04-01,2302825
2010-05-01,2290204
2010-06-01,2276629
2010-07-01,2270384
2010-08-01,2273365
2010-09-01,2281082
2010-10-01,2286213
2010-11-01,2282779
2010-12-01,2269324
2011-01-01,2250419
2011-02-01,2231325
2011-03-01,2214864
2011-04-01,2204843
2011-05-01,2203572
2011-06-01,2205840
2011-07-01,2204222
2011-08-01,2194762
2011-09-01,2175875
2011-10-01,2149777
2011-11-01,2119222
2011-12-01,2087597
2012-01-01,2058815
2012-02-01,2035978
2012-03-01,2020962
2012-04-01,2009145
2012-05-01,1994708
2012-06-01,1973849
2012-07-01,1945187
2012-08-01,1912997
2012-09-01,1883541
2012-10-01,1857949
2012-11-01,1835968
2012-12-01,1815379
2013-01-01,1794354
2013-02-01,1771965
2013-03-01,1747530
2013-04-01,1723056
2013-05-01,1702164
2013-06-01,1686464
2013-07-01,1673655
2013-08-01,1656258
2013-09-01,1630816
2013-10-01,1602712
2013-11-01,1576154
2013-12-01,1552267
2014-01-01,1529097
2014-02-01,1504882
2014-03-01,1481678
2014-04-01,1460302
2014-05-01,1438754
2014-06-01,1417330
2014-07-01,1397599
2014-08-01,1380808
2014-09-01,1365439
2014-10-01,1346860
2014-11-01,1323788
2014-12-01,1300776
2015-01-01,1280942
2015-02-01,1265047
2015-03-01,1249688
2015-04-01,1231739
2015-05-01,1209970
2015-06-01,1184713
2015-07-01,1158791
2015-08-01,1135396
2015-09-01,1115327
2015-10-01,1099919
2015-11-01,1089888
2015-12-01,1082097
2016-01-01,1074186
2016-02-01,1066317
2016-03-01,1058236
2016-04-01,1051594
2016-05-01,1048270
2016-06-01,1047392
2016-07-01,1047018
2016-08-01,1046432
2016-09-01,1046026
2016-10-01,1043344
2016-11-01,1035290
2016-12-01,1021682
2017-01-01,1002904
2017-02-01,983594
2017-03-01,966105
2017-04-01,952330
2017-05-01,941208
2017-06-01,932076
2017-07-01,924084
2017-08-01,914397
2017-09-01,902106
2017-10-01,887471
2017-11-01,872287
2017-12-01,857119
2018-01-01,844210
2018-02-01,834737
2018-03-01,826268
2018-04-01,817547
2018-05-01,809966
2018-06-01,804603
2018-07-01,801807
2018-08-01,804087
2018-09-01,812030
2018-10-01,823522
2018-11-01,835034
2018-12-01,841563
2019-01-01,839508
2019-02-01,827951
2019-03-01,811043
2019-04-01,792788
2019-05-01,777531
2019-06-01,769152
2019-07-01,768941
2019-08-01,774078
2019-09-01,778843
2019-10-01,785793
2019-11-01,797181
2019-12-01,814359
2020-01-01,836213
2020-02-01,860763
2020-03-01,1064166
2020-04-01,3018611
2020-05-01,2922491
2020-06-01,2626144
2020-07-01,2513656
2020-08-01,2252905
2020-09-01,1866909
2020-10-01,1738494
2020-11-01,1695472
2020-12-01,1695633
2021-01-01,1634650
2021-02-01,1604604
2021-03-01,1582228
2021-04-01,1560629
2021-05-01,1495656
2021-06-01,1482661
2021-07-01,1401690
2021-08-01,1340235
2021-09-01,1244003
2021-10-01,1178048
2021-11-01,1097196
2021-12-01,1047919
2022-01-01,994165
2022-02-01,909437
2022-03-01,837088
2022-04-01,791466
2022-05-01,760435
2022-06-01,743821
2022-07-01,732210
2022-08-01,723589
2022-09-01,769532
2022-10-01,798481
2022-11-01,797702
2022-12-01,790262
2023-01-01,813818
2023-02-01,841703
2023-03-01,860202
2023-04-01,868102
2023-05-01,883375
2023-06-01,889335
2023-07-01,884871
2023-08-01,895044
2023-09-01,913550
2023-10-01,931250
