"Date","WIBAYF7LFN"
1998-06-01,7726
1998-07-01,7677
1998-08-01,7578
1998-09-01,7430
1998-10-01,7387
1998-11-01,7303
1998-12-01,7191
1999-01-01,7287
1999-02-01,7326
1999-03-01,7221
1999-04-01,7297
1999-05-01,7273
1999-06-01,7596
1999-07-01,7575
1999-08-01,7494
1999-09-01,7358
1999-10-01,7355
1999-11-01,7318
1999-12-01,7280
2000-01-01,7455
2000-02-01,7575
2000-03-01,7603
2000-04-01,7614
2000-05-01,7675
2000-06-01,7959
2000-07-01,7891
2000-08-01,7778
2000-09-01,7758
2000-10-01,7812
2000-11-01,7746
2000-12-01,7713
2001-01-01,7653
2001-02-01,7721
2001-03-01,7781
2001-04-01,7846
2001-05-01,7935
2001-06-01,8261
2001-07-01,8216
2001-08-01,8138
2001-09-01,8009
2001-10-01,7985
2001-11-01,7906
2001-12-01,7926
2002-01-01,7825
2002-02-01,7867
2002-03-01,7838
2002-04-01,7803
2002-05-01,7842
2002-06-01,8236
2002-07-01,8311
2002-08-01,8231
2002-09-01,8087
2002-10-01,8033
2002-11-01,7963
2002-12-01,7964
2003-01-01,7876
2003-02-01,7905
2003-03-01,7901
2003-04-01,7917
2003-05-01,7962
2003-06-01,8357
2003-07-01,8399
2003-08-01,8295
2003-09-01,8003
2003-10-01,8109
2003-11-01,8022
2003-12-01,8014
2004-01-01,8151
2004-02-01,8117
2004-03-01,8055
2004-04-01,8045
2004-05-01,8120
2004-06-01,8505
2004-07-01,8700
2004-08-01,8505
2004-09-01,8154
2004-10-01,8189
2004-11-01,8064
2004-12-01,8087
2005-01-01,8080
2005-02-01,8086
2005-03-01,8056
2005-04-01,8033
2005-05-01,8094
2005-06-01,8520
2005-07-01,8616
2005-08-01,8509
2005-09-01,8178
2005-10-01,8207
2005-11-01,8107
2005-12-01,8219
2006-01-01,8184
2006-02-01,8236
2006-03-01,8265
2006-04-01,8199
2006-05-01,8197
2006-06-01,8520
2006-07-01,8633
2006-08-01,8540
2006-09-01,8190
2006-10-01,8218
2006-11-01,8099
2006-12-01,8136
2007-01-01,7926
2007-02-01,7932
2007-03-01,7959
2007-04-01,8044
2007-05-01,8106
2007-06-01,8540
2007-07-01,8517
2007-08-01,8345
2007-09-01,8221
2007-10-01,8130
2007-11-01,8093
2007-12-01,8175
2008-01-01,7978
2008-02-01,7997
2008-03-01,8008
2008-04-01,7961
2008-05-01,8025
2008-06-01,8382
2008-07-01,8361
2008-08-01,8217
2008-09-01,8025
2008-10-01,7972
2008-11-01,7902
2008-12-01,7965
2009-01-01,7872
2009-02-01,7903
2009-03-01,7968
2009-04-01,7944
2009-05-01,8005
2009-06-01,8431
2009-07-01,8384
2009-08-01,8226
2009-09-01,7984
2009-10-01,8041
2009-11-01,7986
2009-12-01,8016
2010-01-01,7658
2010-02-01,7690
2010-03-01,7581
2010-04-01,7629
2010-05-01,7618
2010-06-01,7946
2010-07-01,7892
2010-08-01,7949
2010-09-01,7762
2010-10-01,7522
2010-11-01,7521
2010-12-01,7476
2011-01-01,7537
2011-02-01,7598
2011-03-01,7468
2011-04-01,7567
2011-05-01,7694
2011-06-01,8019
2011-07-01,8015
2011-08-01,8008
2011-09-01,7765
2011-10-01,7703
2011-11-01,7635
2011-12-01,7630
2012-01-01,7685
2012-02-01,7673
2012-03-01,7622
2012-04-01,7600
2012-05-01,7672
2012-06-01,8064
2012-07-01,8097
2012-08-01,8046
2012-09-01,7753
2012-10-01,7769
2012-11-01,7715
2012-12-01,7671
2013-01-01,7745
2013-02-01,7699
2013-03-01,7609
2013-04-01,7580
2013-05-01,7639
2013-06-01,7995
2013-07-01,8123
2013-08-01,8063
2013-09-01,7769
2013-10-01,7646
2013-11-01,7611
2013-12-01,7557
2014-01-01,7447
2014-02-01,7467
2014-03-01,7486
2014-04-01,7397
2014-05-01,7502
2014-06-01,7796
2014-07-01,7899
2014-08-01,7792
2014-09-01,7544
2014-10-01,7492
2014-11-01,7299
2014-12-01,7220
2015-01-01,7371
2015-02-01,7344
2015-03-01,7322
2015-04-01,7439
2015-05-01,7533
2015-06-01,7879
2015-07-01,7958
2015-08-01,7787
2015-09-01,7497
2015-10-01,7466
2015-11-01,7275
2015-12-01,7179
2016-01-01,7254
2016-02-01,7297
2016-03-01,7287
2016-04-01,7394
2016-05-01,7485
2016-06-01,7867
2016-07-01,7908
2016-08-01,7814
2016-09-01,7577
2016-10-01,7537
2016-11-01,7342
2016-12-01,7322
2017-01-01,7363
2017-02-01,7350
2017-03-01,7329
2017-04-01,7449
2017-05-01,7582
2017-06-01,7923
2017-07-01,7972
2017-08-01,7873
2017-09-01,7676
2017-10-01,7725
2017-11-01,7532
2017-12-01,7450
2018-01-01,7397
2018-02-01,7382
2018-03-01,7361
2018-04-01,7398
2018-05-01,7531
2018-06-01,7949
2018-07-01,7923
2018-08-01,7796
2018-09-01,7512
2018-10-01,7642
2018-11-01,7527
2018-12-01,7590
2019-01-01,7418
2019-02-01,7303
2019-03-01,7290
2019-04-01,7369
2019-05-01,7476
2019-06-01,7835
2019-07-01,7995
2019-08-01,7913
2019-09-01,7665
2019-10-01,7623
2019-11-01,7477
2019-12-01,7470
2020-01-01,7344
2020-02-01,7297
2020-03-01,7278
2020-04-01,7837
2020-05-01,7586
2020-06-01,7747
2020-07-01,7786
2020-08-01,7771
2020-09-01,7515
2020-10-01,7506
2020-11-01,7466
2020-12-01,7374
2021-01-01,7333
2021-02-01,7427
2021-03-01,7487
2021-04-01,7599
2021-05-01,7642
2021-06-01,7898
2021-07-01,7836
2021-08-01,7696
2021-09-01,7437
2021-10-01,7361
2021-11-01,7200
2021-12-01,7240
2022-01-01,7273
2022-02-01,7363
2022-03-01,7387
2022-04-01,7361
2022-05-01,7453
2022-06-01,7678
2022-07-01,7578
2022-08-01,7529
2022-09-01,7282
2022-10-01,7163
2022-11-01,6987
2022-12-01,7003
2023-01-01,7006
2023-02-01,7177
2023-03-01,7165
2023-04-01,7262
2023-05-01,7395
2023-06-01,7719
2023-07-01,7761
2023-08-01,7683
2023-09-01,7460
2023-10-01,7291
