"Date","GAFRAN9LFN"
2020-08-01,9640
2020-09-01,9599
2020-10-01,10091
2020-11-01,10135
2020-12-01,10040
2021-01-01,10142
2021-02-01,10097
2021-03-01,10245
2021-04-01,9965
2021-05-01,9973
2021-06-01,9914
2021-07-01,9991
2021-08-01,10031
2021-09-01,9967
2021-10-01,9883
2021-11-01,9920
2021-12-01,9669
2022-01-01,10182
2022-02-01,10123
2022-03-01,10105
2022-04-01,10020
2022-05-01,10082
2022-06-01,9987
2022-07-01,9926
2022-08-01,9924
2022-09-01,9941
2022-10-01,9955
2022-11-01,9957
2022-12-01,9685
2023-01-01,9812
2023-02-01,9827
2023-03-01,9777
2023-04-01,9723
2023-05-01,9759
2023-06-01,9749
2023-07-01,9724
2023-08-01,9863
2023-09-01,10018
2023-10-01,9997
