"Date","KYBOYD5LFN"
2008-02-01,22532
2008-03-01,22841
2008-04-01,22709
2008-05-01,22692
2008-06-01,22985
2008-07-01,22704
2008-08-01,22872
2008-09-01,22989
2008-10-01,23069
2008-11-01,23139
2008-12-01,23484
2009-01-01,22979
2009-02-01,22787
2009-03-01,23051
2009-04-01,22677
2009-05-01,22894
2009-06-01,23215
2009-07-01,22492
2009-08-01,22573
2009-09-01,22572
2009-10-01,22571
2009-11-01,22823
2009-12-01,22703
2010-01-01,20478
2010-02-01,20474
2010-03-01,20601
2010-04-01,20508
2010-05-01,20546
2010-06-01,20659
2010-07-01,20420
2010-08-01,20465
2010-09-01,20490
2010-10-01,20474
2010-11-01,20679
2010-12-01,20572
2011-01-01,20260
2011-02-01,20242
2011-03-01,20392
2011-04-01,20241
2011-05-01,20381
2011-06-01,20485
2011-07-01,20343
2011-08-01,20166
2011-09-01,20235
2011-10-01,20230
2011-11-01,20333
2011-12-01,20331
2012-01-01,19933
2012-02-01,19995
2012-03-01,19973
2012-04-01,19911
2012-05-01,20136
2012-06-01,20228
2012-07-01,20231
2012-08-01,20094
2012-09-01,20165
2012-10-01,20137
2012-11-01,20136
2012-12-01,20204
2013-01-01,19924
2013-02-01,19848
2013-03-01,19893
2013-04-01,19838
2013-05-01,19892
2013-06-01,20000
2013-07-01,19906
2013-08-01,19506
2013-09-01,19664
2013-10-01,19409
2013-11-01,19342
2013-12-01,19245
2014-01-01,19195
2014-02-01,19324
2014-03-01,19434
2014-04-01,19239
2014-05-01,19437
2014-06-01,19293
2014-07-01,19245
2014-08-01,18820
2014-09-01,18817
2014-10-01,18835
2014-11-01,18709
2014-12-01,18622
2015-01-01,18342
2015-02-01,18454
2015-03-01,18492
2015-04-01,18416
2015-05-01,18451
2015-06-01,18279
2015-07-01,18346
2015-08-01,18091
2015-09-01,18120
2015-10-01,18234
2015-11-01,18146
2015-12-01,18228
2016-01-01,18163
2016-02-01,18311
2016-03-01,18447
2016-04-01,18341
2016-05-01,18627
2016-06-01,18572
2016-07-01,18720
2016-08-01,18608
2016-09-01,18746
2016-10-01,18704
2016-11-01,18642
2016-12-01,18619
2017-01-01,18287
2017-02-01,18488
2017-03-01,18613
2017-04-01,18323
2017-05-01,18377
2017-06-01,18417
2017-07-01,18404
2017-08-01,18209
2017-09-01,18321
2017-10-01,18157
2017-11-01,18038
2017-12-01,17977
2018-01-01,17910
2018-02-01,17985
2018-03-01,18205
2018-04-01,18021
2018-05-01,17976
2018-06-01,18029
2018-07-01,17998
2018-08-01,17705
2018-09-01,17743
2018-10-01,17782
2018-11-01,17679
2018-12-01,17717
2019-01-01,17775
2019-02-01,17836
2019-03-01,18023
2019-04-01,17768
2019-05-01,17696
2019-06-01,17785
2019-07-01,17867
2019-08-01,17690
2019-09-01,17797
2019-10-01,17908
2019-11-01,17824
2019-12-01,17791
2020-01-01,17903
2020-02-01,17919
2020-03-01,17863
2020-04-01,18162
2020-05-01,18044
2020-06-01,16949
2020-07-01,16956
2020-08-01,17128
2020-09-01,17216
2020-10-01,17200
2020-11-01,17091
2020-12-01,17171
2021-01-01,16822
2021-02-01,16965
2021-03-01,17168
2021-04-01,17219
2021-05-01,17050
2021-06-01,17133
2021-07-01,17097
2021-08-01,16913
2021-09-01,17144
2021-10-01,17323
2021-11-01,17384
2021-12-01,17278
2022-01-01,17176
2022-02-01,17377
2022-03-01,17467
2022-04-01,17362
2022-05-01,17378
2022-06-01,17278
2022-07-01,17193
2022-08-01,17093
2022-09-01,17069
2022-10-01,17033
2022-11-01,16994
2022-12-01,17042
2023-01-01,17061
2023-02-01,17154
2023-03-01,17192
2023-04-01,17265
2023-05-01,17410
2023-06-01,17358
2023-07-01,17161
2023-08-01,17063
2023-09-01,16998
2023-10-01,16987
