"Date","TXCOLL5LFN"
2020-05-01,563315
2020-06-01,572153
2020-07-01,575890
2020-08-01,581617
2020-09-01,583935
2020-10-01,590226
2020-11-01,592849
2020-12-01,592988
2021-01-01,589765
2021-02-01,592065
2021-03-01,592783
2021-04-01,593900
2021-05-01,594395
2021-06-01,598427
2021-07-01,602660
2021-08-01,602787
2021-09-01,604209
2021-10-01,610234
2021-11-01,615298
2021-12-01,615060
2022-01-01,616565
2022-02-01,619945
2022-03-01,620742
2022-04-01,620409
2022-05-01,622045
2022-06-01,624236
2022-07-01,625245
2022-08-01,627577
2022-09-01,626965
2022-10-01,631245
2022-11-01,634755
2022-12-01,634145
2023-01-01,639059
2023-02-01,645330
2023-03-01,646795
2023-04-01,644694
2023-05-01,642359
2023-06-01,647973
2023-07-01,656437
2023-08-01,657407
2023-09-01,657728
2023-10-01,659648
