"Date","UEMP5TO14"
1965-03-01,1029
1965-04-01,1018
1965-05-01,1043
1965-06-01,1009
1965-07-01,959
1965-08-01,940
1965-09-01,860
1965-10-01,920
1965-11-01,895
1965-12-01,857
1966-01-01,777
1966-02-01,758
1966-03-01,814
1966-04-01,653
1966-05-01,821
1966-06-01,779
1966-07-01,809
1966-08-01,827
1966-09-01,793
1966-10-01,780
1966-11-01,776
1966-12-01,745
1967-01-01,854
1967-02-01,862
1967-03-01,869
1967-04-01,896
1967-05-01,905
1967-06-01,883
1967-07-01,863
1967-08-01,928
1967-09-01,895
1967-10-01,962
1967-11-01,905
1967-12-01,920
1968-01-01,904
1968-02-01,845
1968-03-01,784
1968-04-01,856
1968-05-01,745
1968-06-01,816
1968-07-01,831
1968-08-01,765
1968-09-01,781
1968-10-01,799
1968-11-01,768
1968-12-01,800
1969-01-01,785
1969-02-01,863
1969-03-01,770
1969-04-01,764
1969-05-01,657
1969-06-01,799
1969-07-01,816
1969-08-01,865
1969-09-01,963
1969-10-01,853
1969-11-01,888
1969-12-01,883
1970-01-01,933
1970-02-01,1048
1970-03-01,1133
1970-04-01,1106
1970-05-01,1241
1970-06-01,1290
1970-07-01,1329
1970-08-01,1348
1970-09-01,1448
1970-10-01,1470
1970-11-01,1713
1970-12-01,1586
1971-01-01,1626
1971-02-01,1633
1971-03-01,1637
1971-04-01,1575
1971-05-01,1566
1971-06-01,1606
1971-07-01,1549
1971-08-01,1568
1971-09-01,1568
1971-10-01,1546
1971-11-01,1629
1971-12-01,1518
1972-01-01,1489
1972-02-01,1470
1972-03-01,1418
1972-04-01,1500
1972-05-01,1534
1972-06-01,1489
1972-07-01,1515
1972-08-01,1541
1972-09-01,1390
1972-10-01,1472
1972-11-01,1386
1972-12-01,1460
1973-01-01,1344
1973-02-01,1263
1973-03-01,1340
1973-04-01,1474
1973-05-01,1320
1973-06-01,1248
1973-07-01,1314
1973-08-01,1260
1973-09-01,1346
1973-10-01,1321
1973-11-01,1256
1973-12-01,1310
1974-01-01,1404
1974-02-01,1426
1974-03-01,1403
1974-04-01,1456
1974-05-01,1409
1974-06-01,1517
1974-07-01,1602
1974-08-01,1483
1974-09-01,1680
1974-10-01,1770
1974-11-01,1918
1974-12-01,2151
1975-01-01,2646
1975-02-01,2616
1975-03-01,2630
1975-04-01,2719
1975-05-01,2692
1975-06-01,2526
1975-07-01,2268
1975-08-01,2371
1975-09-01,2357
1975-10-01,2392
1975-11-01,2345
1975-12-01,2191
1976-01-01,2154
1976-02-01,1980
1976-03-01,1995
1976-04-01,2011
1976-05-01,2049
1976-06-01,2281
1976-07-01,2181
1976-08-01,2323
1976-09-01,2329
1976-10-01,2285
1976-11-01,2449
1976-12-01,2304
1977-01-01,2206
1977-02-01,2240
1977-03-01,2213
1977-04-01,1994
1977-05-01,2170
1977-06-01,2078
1977-07-01,2060
1977-08-01,2207
1977-09-01,2125
1977-10-01,2127
1977-11-01,2080
1977-12-01,1941
1978-01-01,1989
1978-02-01,1942
1978-03-01,1966
1978-04-01,1888
1978-05-01,1827
1978-06-01,1946
1978-07-01,1867
1978-08-01,1967
1978-09-01,1884
1978-10-01,1833
1978-11-01,1881
1978-12-01,2004
1979-01-01,2003
1979-02-01,1964
1979-03-01,1935
1979-04-01,1908
1979-05-01,1897
1979-06-01,1816
1979-07-01,1982
1979-08-01,1820
1979-09-01,2054
1979-10-01,2011
1979-11-01,1883
1979-12-01,2033
1980-01-01,2063
1980-02-01,2200
1980-03-01,2272
1980-04-01,2388
1980-05-01,2608
1980-06-01,2879
1980-07-01,2817
1980-08-01,2658
1980-09-01,2613
1980-10-01,2544
1980-11-01,2498
1980-12-01,2234
1981-01-01,2334
1981-02-01,2412
1981-03-01,2428
1981-04-01,2436
1981-05-01,2594
1981-06-01,2403
1981-07-01,2408
1981-08-01,2487
1981-09-01,2524
1981-10-01,2654
1981-11-01,2810
1981-12-01,2989
1982-01-01,3074
1982-02-01,3122
1982-03-01,3107
1982-04-01,3227
1982-05-01,3295
1982-06-01,3413
1982-07-01,3300
1982-08-01,3354
1982-09-01,3494
1982-10-01,3471
1982-11-01,3518
1982-12-01,3425
1983-01-01,3312
1983-02-01,3177
1983-03-01,3150
1983-04-01,3112
1983-05-01,2979
1983-06-01,2926
1983-07-01,2821
1983-08-01,3035
1983-09-01,2774
1983-10-01,2736
1983-11-01,2644
1983-12-01,2521
1984-01-01,2532
1984-02-01,2485
1984-03-01,2501
1984-04-01,2459
1984-05-01,2387
1984-06-01,2273
1984-07-01,2472
1984-08-01,2415
1984-09-01,2558
1984-10-01,2392
1984-11-01,2356
1984-12-01,2578
1985-01-01,2536
1985-02-01,2452
1985-03-01,2443
1985-04-01,2495
1985-05-01,2556
1985-06-01,2517
1985-07-01,2554
1985-08-01,2515
1985-09-01,2570
1985-10-01,2545
1985-11-01,2456
1985-12-01,2544
1986-01-01,2414
1986-02-01,2569
1986-03-01,2586
1986-04-01,2666
1986-05-01,2670
1986-06-01,2705
1986-07-01,2548
1986-08-01,2398
1986-09-01,2642
1986-10-01,2599
1986-11-01,2630
1986-12-01,2397
1987-01-01,2399
1987-02-01,2415
1987-03-01,2393
1987-04-01,2236
1987-05-01,2100
1987-06-01,2173
1987-07-01,2146
1987-08-01,2155
1987-09-01,2031
1987-10-01,2162
1987-11-01,2083
1987-12-01,1979
1988-01-01,2151
1988-02-01,2110
1988-03-01,2087
1988-04-01,1930
1988-05-01,2036
1988-06-01,1924
1988-07-01,2067
1988-08-01,1973
1988-09-01,1880
1988-10-01,1864
1988-11-01,1967
1988-12-01,2023
1989-01-01,2010
1989-02-01,1877
1989-03-01,1850
1989-04-01,1984
1989-05-01,1987
1989-06-01,2020
1989-07-01,1961
1989-08-01,2038
1989-09-01,1981
1989-10-01,1992
1989-11-01,2035
1989-12-01,1987
1990-01-01,2091
1990-02-01,2066
1990-03-01,2101
1990-04-01,2171
1990-05-01,2269
1990-06-01,2118
1990-07-01,2240
1990-08-01,2254
1990-09-01,2374
1990-10-01,2416
1990-11-01,2465
1990-12-01,2565
1991-01-01,2630
1991-02-01,2729
1991-03-01,2930
1991-04-01,2801
1991-05-01,2864
1991-06-01,2862
1991-07-01,2803
1991-08-01,2752
1991-09-01,2734
1991-10-01,2779
1991-11-01,2781
1991-12-01,2813
1992-01-01,2826
1992-02-01,2953
1992-03-01,2801
1992-04-01,2821
1992-05-01,2788
1992-06-01,2809
1992-07-01,2832
1992-08-01,2840
1992-09-01,2882
1992-10-01,2630
1992-11-01,2923
1992-12-01,2759
1993-01-01,2649
1993-02-01,2580
1993-03-01,2666
1993-04-01,2620
1993-05-01,2617
1993-06-01,2778
1993-07-01,2586
1993-08-01,2595
1993-09-01,2516
1993-10-01,2514
1993-11-01,2518
1993-12-01,2362
1994-01-01,2384
1994-02-01,2714
1994-03-01,2543
1994-04-01,2430
1994-05-01,2462
1994-06-01,2449
1994-07-01,2316
1994-08-01,2569
1994-09-01,2317
1994-10-01,2283
1994-11-01,2164
1994-12-01,2146
1995-01-01,2164
1995-02-01,2197
1995-03-01,2276
1995-04-01,2370
1995-05-01,2332
1995-06-01,2354
1995-07-01,2565
1995-08-01,2434
1995-09-01,2296
1995-10-01,2380
1995-11-01,2353
1995-12-01,2414
1996-01-01,2387
1996-02-01,2266
1996-03-01,2259
1996-04-01,2358
1996-05-01,2349
1996-06-01,2162
1996-07-01,2332
1996-08-01,2187
1996-09-01,2214
1996-10-01,2334
1996-11-01,2207
1996-12-01,2417
1997-01-01,2219
1997-02-01,2357
1997-03-01,2323
1997-04-01,2190
1997-05-01,2061
1997-06-01,2175
1997-07-01,2094
1997-08-01,2120
1997-09-01,2102
1997-10-01,1966
1997-11-01,2027
1997-12-01,1937
1998-01-01,1929
1998-02-01,1918
1998-03-01,1972
1998-04-01,1918
1998-05-01,1950
1998-06-01,2079
1998-07-01,2005
1998-08-01,1963
1998-09-01,1985
1998-10-01,1909
1998-11-01,1998
1998-12-01,1806
1999-01-01,1993
1999-02-01,1946
1999-03-01,1905
1999-04-01,1848
1999-05-01,1789
1999-06-01,1773
1999-07-01,1783
1999-08-01,1824
1999-09-01,1835
1999-10-01,1847
1999-11-01,1775
1999-12-01,1614
2000-01-01,1749
2000-02-01,1912
2000-03-01,1781
2000-04-01,1845
2000-05-01,1911
2000-06-01,1753
2000-07-01,1824
2000-08-01,1893
2000-09-01,1746
2000-10-01,1724
2000-11-01,1790
2000-12-01,1825
2001-01-01,1956
2001-02-01,1764
2001-03-01,2059
2001-04-01,1990
2001-05-01,2045
2001-06-01,2025
2001-07-01,2187
2001-08-01,2187
2001-09-01,2350
2001-10-01,2531
2001-11-01,2566
2001-12-01,2797
2002-01-01,2606
2002-02-01,2577
2002-03-01,2563
2002-04-01,2872
2002-05-01,2584
2002-06-01,2654
2002-07-01,2467
2002-08-01,2525
2002-09-01,2526
2002-10-01,2512
2002-11-01,2505
2002-12-01,2589
2003-01-01,2582
2003-02-01,2611
2003-03-01,2567
2003-04-01,2661
2003-05-01,2631
2003-06-01,2745
2003-07-01,2616
2003-08-01,2625
2003-09-01,2775
2003-10-01,2593
2003-11-01,2509
2003-12-01,2455
2004-01-01,2369
2004-02-01,2436
2004-03-01,2434
2004-04-01,2400
2004-05-01,2378
2004-06-01,2387
2004-07-01,2384
2004-08-01,2563
2004-09-01,2276
2004-10-01,2303
2004-11-01,2339
2004-12-01,2268
2005-01-01,2298
2005-02-01,2345
2005-03-01,2328
2005-04-01,2289
2005-05-01,2231
2005-06-01,2361
2005-07-01,2368
2005-08-01,2304
2005-09-01,2294
2005-10-01,2296
2005-11-01,2282
2005-12-01,2249
2006-01-01,2194
2006-02-01,2088
2006-03-01,1999
2006-04-01,2142
2006-05-01,2189
2006-06-01,2076
2006-07-01,2126
2006-08-01,2246
2006-09-01,2053
2006-10-01,2103
2006-11-01,2212
2006-12-01,2047
2007-01-01,2267
2007-02-01,2168
2007-03-01,2138
2007-04-01,2178
2007-05-01,2183
2007-06-01,2134
2007-07-01,2203
2007-08-01,2156
2007-09-01,2292
2007-10-01,2502
2007-11-01,2241
2007-12-01,2376
2008-01-01,2406
2008-02-01,2370
2008-03-01,2537
2008-04-01,2574
2008-05-01,2476
2008-06-01,3016
2008-07-01,2833
2008-08-01,2758
2008-09-01,3035
2008-10-01,3055
2008-11-01,3260
2008-12-01,3498
2009-01-01,3662
2009-02-01,3936
2009-03-01,4122
2009-04-01,4138
2009-05-01,4458
2009-06-01,4052
2009-07-01,3505
2009-08-01,3927
2009-09-01,3775
2009-10-01,3552
2009-11-01,3457
2009-12-01,3457
2010-01-01,3390
2010-02-01,3390
2010-03-01,3294
2010-04-01,3086
2010-05-01,3127
2010-06-01,3159
2010-07-01,2972
2010-08-01,3534
2010-09-01,3308
2010-10-01,3345
2010-11-01,3321
2010-12-01,3169
2011-01-01,3033
2011-02-01,3118
2011-03-01,2980
2011-04-01,2987
2011-05-01,2903
2011-06-01,2987
2011-07-01,2931
2011-08-01,2989
2011-09-01,2881
2011-10-01,3250
2011-11-01,2913
2011-12-01,2873
2012-01-01,2908
2012-02-01,2848
2012-03-01,2788
2012-04-01,2878
2012-05-01,3006
2012-06-01,2806
2012-07-01,2984
2012-08-01,2811
2012-09-01,2819
2012-10-01,2859
2012-11-01,2776
2012-12-01,2901
2013-01-01,3115
2013-02-01,2799
2013-03-01,2826
2013-04-01,2908
2013-05-01,2631
2013-06-01,2851
2013-07-01,2768
2013-08-01,2688
2013-09-01,2691
2013-10-01,2639
2013-11-01,2586
2013-12-01,2545
2014-01-01,2431
2014-02-01,2590
2014-03-01,2561
2014-04-01,2377
2014-05-01,2357
2014-06-01,2427
2014-07-01,2412
2014-08-01,2389
2014-09-01,2560
2014-10-01,2300
2014-11-01,2403
2014-12-01,2320
2015-01-01,2319
2015-02-01,2238
2015-03-01,2304
2015-04-01,2345
2015-05-01,2510
2015-06-01,2396
2015-07-01,2222
2015-08-01,2329
2015-09-01,2274
2015-10-01,2277
2015-11-01,2296
2015-12-01,2191
2016-01-01,2290
2016-02-01,2187
2016-03-01,2168
2016-04-01,2132
2016-05-01,2264
2016-06-01,2195
2016-07-01,2282
2016-08-01,2352
2016-09-01,2288
2016-10-01,2273
2016-11-01,2163
2016-12-01,2117
2017-01-01,2034
2017-02-01,2129
2017-03-01,2071
2017-04-01,2070
2017-05-01,1970
2017-06-01,1924
2017-07-01,2026
2017-08-01,2065
2017-09-01,1905
2017-10-01,1961
2017-11-01,1886
2017-12-01,1966
2018-01-01,1895
2018-02-01,1893
2018-03-01,2002
2018-04-01,1994
2018-05-01,1942
2018-06-01,1865
2018-07-01,1804
2018-08-01,1730
2018-09-01,1731
2018-10-01,1840
2018-11-01,1807
2018-12-01,2033
2019-01-01,1981
2019-02-01,1795
2019-03-01,1831
2019-04-01,1881
2019-05-01,1564
2019-06-01,1835
2019-07-01,1779
2019-08-01,1700
2019-09-01,1759
2019-10-01,1751
2019-11-01,1742
2019-12-01,1777
2020-01-01,1758
2020-02-01,1811
2020-03-01,1824
2020-04-01,7066
2020-05-01,14806
2020-06-01,11522
2020-07-01,5145
2020-08-01,3105
2020-09-01,2735
2020-10-01,2342
2020-11-01,2440
2020-12-01,2344
2021-01-01,2484
2021-02-01,2254
2021-03-01,1950
2021-04-01,2011
2021-05-01,2199
2021-06-01,2240
2021-07-01,1763
2021-08-01,1885
2021-09-01,1740
2021-10-01,1852
2021-11-01,1708
2021-12-01,1593
2022-01-01,1619
2022-02-01,1803
2022-03-01,1688
2022-04-01,1630
2022-05-01,1771
2022-06-01,1576
2022-07-01,1769
2022-08-01,1797
2022-09-01,1643
2022-10-01,1774
2022-11-01,1694
2022-12-01,1639
2023-01-01,1785
2023-02-01,1845
2023-03-01,1733
2023-04-01,1915
2023-05-01,1865
2023-06-01,1889
2023-07-01,1698
2023-08-01,1877
2023-09-01,2044
2023-10-01,1836
2023-11-01,2080
