"Date","OKCHOC3LFN"
2018-11-01,5483
2018-12-01,5411
2019-01-01,5541
2019-02-01,5503
2019-03-01,5342
2019-04-01,5322
2019-05-01,5391
2019-06-01,5357
2019-07-01,5475
2019-08-01,5447
2019-09-01,5403
2019-10-01,5402
2019-11-01,5390
2019-12-01,5328
2020-01-01,5482
2020-02-01,5401
2020-03-01,5420
2020-04-01,5548
2020-05-01,5617
2020-06-01,5572
2020-07-01,5627
2020-08-01,5631
2020-09-01,5656
2020-10-01,5648
2020-11-01,5615
2020-12-01,5598
2021-01-01,5975
2021-02-01,5996
2021-03-01,5913
2021-04-01,5999
2021-05-01,6066
2021-06-01,6032
2021-07-01,5953
2021-08-01,5916
2021-09-01,5931
2021-10-01,5967
2021-11-01,5914
2021-12-01,5880
2022-01-01,5827
2022-02-01,5863
2022-03-01,5926
2022-04-01,5897
2022-05-01,6045
2022-06-01,6034
2022-07-01,6048
2022-08-01,5979
2022-09-01,6037
2022-10-01,6046
2022-11-01,6006
2022-12-01,6037
2023-01-01,6068
2023-02-01,6063
2023-03-01,6118
2023-04-01,6099
2023-05-01,6175
2023-06-01,6204
2023-07-01,6206
2023-08-01,6241
2023-09-01,6986
2023-10-01,6976
