"Date","NDPEMB7LFN"
2020-04-01,3573
2020-05-01,3553
2020-06-01,3455
2020-07-01,3344
2020-08-01,3524
2020-09-01,3404
2020-10-01,3394
2020-11-01,3285
2020-12-01,3311
2021-01-01,3347
2021-02-01,3320
2021-03-01,3370
2021-04-01,3365
2021-05-01,3383
2021-06-01,3423
2021-07-01,3318
2021-08-01,3449
2021-09-01,3353
2021-10-01,3275
2021-11-01,3195
2021-12-01,3228
2022-01-01,3249
2022-02-01,3248
2022-03-01,3320
2022-04-01,3211
2022-05-01,3266
2022-06-01,3304
2022-07-01,3258
2022-08-01,3363
2022-09-01,3285
2022-10-01,3262
2022-11-01,3161
2022-12-01,3204
2023-01-01,3156
2023-02-01,3189
2023-03-01,3202
2023-04-01,3170
2023-05-01,3217
2023-06-01,3198
2023-07-01,3204
2023-08-01,3284
2023-09-01,3319
2023-10-01,3284
