"Date","PAHUNT1LFN"
2022-03-01,19072
2022-04-01,19161
2022-05-01,19575
2022-06-01,19477
2022-07-01,19549
2022-08-01,19526
2022-09-01,19359
2022-10-01,19418
2022-11-01,19171
2022-12-01,19106
2023-01-01,19088
2023-02-01,19088
2023-03-01,19040
2023-04-01,18981
2023-05-01,19138
2023-06-01,19158
2023-07-01,19152
2023-08-01,19284
2023-09-01,19114
2023-10-01,19097
