"Date","TXBLAN1LFN"
1998-08-01,3899
1998-09-01,3872
1998-10-01,3861
1998-11-01,3839
1998-12-01,3722
1999-01-01,3793
1999-02-01,3755
1999-03-01,3765
1999-04-01,3879
1999-05-01,3918
1999-06-01,4022
1999-07-01,4089
1999-08-01,4053
1999-09-01,4051
1999-10-01,3984
1999-11-01,3931
1999-12-01,3963
2000-01-01,4492
2000-02-01,4435
2000-03-01,4429
2000-04-01,4366
2000-05-01,4493
2000-06-01,4632
2000-07-01,4668
2000-08-01,4569
2000-09-01,4509
2000-10-01,4419
2000-11-01,4339
2000-12-01,4422
2001-01-01,4330
2001-02-01,4225
2001-03-01,4315
2001-04-01,4319
2001-05-01,4354
2001-06-01,4467
2001-07-01,4541
2001-08-01,4560
2001-09-01,4508
2001-10-01,4518
2001-11-01,4466
2001-12-01,4426
2002-01-01,4379
2002-02-01,4379
2002-03-01,4451
2002-04-01,4429
2002-05-01,4482
2002-06-01,4519
2002-07-01,4601
2002-08-01,4567
2002-09-01,4636
2002-10-01,4622
2002-11-01,4522
2002-12-01,4472
2003-01-01,4443
2003-02-01,4511
2003-03-01,4599
2003-04-01,4686
2003-05-01,4705
2003-06-01,4783
2003-07-01,4783
2003-08-01,4744
2003-09-01,4783
2003-10-01,4737
2003-11-01,4770
2003-12-01,4680
2004-01-01,4701
2004-02-01,4667
2004-03-01,4597
2004-04-01,4720
2004-05-01,4665
2004-06-01,4895
2004-07-01,4945
2004-08-01,4964
2004-09-01,4962
2004-10-01,4912
2004-11-01,4877
2004-12-01,4843
2005-01-01,4724
2005-02-01,4649
2005-03-01,4656
2005-04-01,4753
2005-05-01,4714
2005-06-01,4777
2005-07-01,4829
2005-08-01,4739
2005-09-01,4677
2005-10-01,4723
2005-11-01,4659
2005-12-01,4617
2006-01-01,4561
2006-02-01,4509
2006-03-01,4534
2006-04-01,4596
2006-05-01,4599
2006-06-01,4759
2006-07-01,4754
2006-08-01,4671
2006-09-01,4700
2006-10-01,4684
2006-11-01,4729
2006-12-01,4810
2007-01-01,4704
2007-02-01,4722
2007-03-01,4736
2007-04-01,4793
2007-05-01,4812
2007-06-01,4899
2007-07-01,4812
2007-08-01,4683
2007-09-01,4792
2007-10-01,4739
2007-11-01,4744
2007-12-01,4770
2008-01-01,4784
2008-02-01,4737
2008-03-01,4779
2008-04-01,4816
2008-05-01,4836
2008-06-01,4931
2008-07-01,4871
2008-08-01,4835
2008-09-01,5003
2008-10-01,4958
2008-11-01,4997
2008-12-01,4967
2009-01-01,4866
2009-02-01,4967
2009-03-01,4975
2009-04-01,5043
2009-05-01,5106
2009-06-01,5304
2009-07-01,5176
2009-08-01,5162
2009-09-01,5133
2009-10-01,5072
2009-11-01,5124
2009-12-01,5043
2010-01-01,5311
2010-02-01,5321
2010-03-01,5395
2010-04-01,5522
2010-05-01,5427
2010-06-01,5498
2010-07-01,5499
2010-08-01,5461
2010-09-01,5432
2010-10-01,5395
2010-11-01,5431
2010-12-01,5413
2011-01-01,5357
2011-02-01,5323
2011-03-01,5343
2011-04-01,5398
2011-05-01,5360
2011-06-01,5447
2011-07-01,5477
2011-08-01,5469
2011-09-01,5441
2011-10-01,5408
2011-11-01,5474
2011-12-01,5470
2012-01-01,5365
2012-02-01,5341
2012-03-01,5355
2012-04-01,5448
2012-05-01,5493
2012-06-01,5594
2012-07-01,5580
2012-08-01,5542
2012-09-01,5564
2012-10-01,5528
2012-11-01,5495
2012-12-01,5459
2013-01-01,5430
2013-02-01,5441
2013-03-01,5404
2013-04-01,5505
2013-05-01,5534
2013-06-01,5604
2013-07-01,5633
2013-08-01,5585
2013-09-01,5593
2013-10-01,5552
2013-11-01,5540
2013-12-01,5513
2014-01-01,5472
2014-02-01,5562
2014-03-01,5596
2014-04-01,5641
2014-05-01,5666
2014-06-01,5702
2014-07-01,5736
2014-08-01,5658
2014-09-01,5686
2014-10-01,5810
2014-11-01,5785
2014-12-01,5719
2015-01-01,5708
2015-02-01,5703
2015-03-01,5716
2015-04-01,5782
2015-05-01,5810
2015-06-01,5827
2015-07-01,5808
2015-08-01,5754
2015-09-01,5727
2015-10-01,5807
2015-11-01,5799
2015-12-01,5791
2016-01-01,5772
2016-02-01,5888
2016-03-01,5972
2016-04-01,5979
2016-05-01,6017
2016-06-01,6017
2016-07-01,5958
2016-08-01,5946
2016-09-01,5919
2016-10-01,5923
2016-11-01,5906
2016-12-01,5946
2017-01-01,6145
2017-02-01,6246
2017-03-01,6259
2017-04-01,6171
2017-05-01,6187
2017-06-01,6236
2017-07-01,6168
2017-08-01,6156
2017-09-01,6134
2017-10-01,6158
2017-11-01,6141
2017-12-01,6167
2018-01-01,6116
2018-02-01,6157
2018-03-01,6209
2018-04-01,6179
2018-05-01,6237
2018-06-01,6230
2018-07-01,6235
2018-08-01,6187
2018-09-01,6146
2018-10-01,6225
2018-11-01,6244
2018-12-01,6267
2019-01-01,6318
2019-02-01,6375
2019-03-01,6408
2019-04-01,6380
2019-05-01,6365
2019-06-01,6453
2019-07-01,6487
2019-08-01,6507
2019-09-01,6467
2019-10-01,6556
2019-11-01,6559
2019-12-01,6617
2020-01-01,6687
2020-02-01,6725
2020-03-01,6607
2020-04-01,6035
2020-05-01,6278
2020-06-01,6454
2020-07-01,6567
2020-08-01,6648
2020-09-01,6645
2020-10-01,6728
2020-11-01,6694
2020-12-01,6769
2021-01-01,6640
2021-02-01,6666
2021-03-01,6802
2021-04-01,6839
2021-05-01,6835
2021-06-01,6985
2021-07-01,7091
2021-08-01,7067
2021-09-01,7021
2021-10-01,6975
2021-11-01,6977
2021-12-01,6980
2022-01-01,6944
2022-02-01,7043
2022-03-01,7119
2022-04-01,7118
2022-05-01,7122
2022-06-01,7184
2022-07-01,7281
2022-08-01,7190
2022-09-01,7174
2022-10-01,7142
2022-11-01,7114
2022-12-01,7166
2023-01-01,7158
2023-02-01,7271
2023-03-01,7357
2023-04-01,7288
2023-05-01,7222
2023-06-01,7352
2023-07-01,7463
2023-08-01,7449
2023-09-01,7415
2023-10-01,7361
