"Date","MIBAYC7LFN"
2009-05-01,55195
2009-06-01,55715
2009-07-01,55177
2009-08-01,54362
2009-09-01,53469
2009-10-01,54418
2009-11-01,54284
2009-12-01,53571
2010-01-01,54081
2010-02-01,54058
2010-03-01,53843
2010-04-01,54085
2010-05-01,54423
2010-06-01,54784
2010-07-01,54983
2010-08-01,54239
2010-09-01,54028
2010-10-01,53763
2010-11-01,53910
2010-12-01,53633
2011-01-01,52978
2011-02-01,53116
2011-03-01,52727
2011-04-01,52737
2011-05-01,53115
2011-06-01,53732
2011-07-01,53880
2011-08-01,53585
2011-09-01,53054
2011-10-01,53013
2011-11-01,53367
2011-12-01,53093
2012-01-01,52650
2012-02-01,52944
2012-03-01,52776
2012-04-01,52872
2012-05-01,53439
2012-06-01,53695
2012-07-01,53593
2012-08-01,53205
2012-09-01,52733
2012-10-01,52704
2012-11-01,52999
2012-12-01,53063
2013-01-01,53083
2013-02-01,53112
2013-03-01,53073
2013-04-01,53056
2013-05-01,53754
2013-06-01,54200
2013-07-01,53723
2013-08-01,53305
2013-09-01,52946
2013-10-01,52566
2013-11-01,53009
2013-12-01,52768
2014-01-01,52916
2014-02-01,53213
2014-03-01,53479
2014-04-01,53184
2014-05-01,53563
2014-06-01,54075
2014-07-01,53756
2014-08-01,53267
2014-09-01,52720
2014-10-01,52646
2014-11-01,53091
2014-12-01,52872
2015-01-01,52655
2015-02-01,52606
2015-03-01,52505
2015-04-01,52470
2015-05-01,52894
2015-06-01,53132
2015-07-01,52811
2015-08-01,52475
2015-09-01,51967
2015-10-01,51716
2015-11-01,52372
2015-12-01,51966
2016-01-01,51914
2016-02-01,52191
2016-03-01,52107
2016-04-01,52134
2016-05-01,52163
2016-06-01,52780
2016-07-01,52524
2016-08-01,52226
2016-09-01,51700
2016-10-01,51486
2016-11-01,51927
2016-12-01,51316
2017-01-01,51330
2017-02-01,51229
2017-03-01,51063
2017-04-01,50887
2017-05-01,50792
2017-06-01,51480
2017-07-01,51578
2017-08-01,51128
2017-09-01,50957
2017-10-01,50078
2017-11-01,50472
2017-12-01,50329
2018-01-01,50528
2018-02-01,50706
2018-03-01,50678
2018-04-01,50382
2018-05-01,50725
2018-06-01,51165
2018-07-01,51172
2018-08-01,50507
2018-09-01,49920
2018-10-01,49718
2018-11-01,49954
2018-12-01,49855
2019-01-01,50346
2019-02-01,50229
2019-03-01,50375
2019-04-01,49985
2019-05-01,50468
2019-06-01,51006
2019-07-01,50654
2019-08-01,50310
2019-09-01,49813
2019-10-01,49864
2019-11-01,50103
2019-12-01,50043
2020-01-01,50365
2020-02-01,50084
2020-03-01,49676
2020-04-01,47475
2020-05-01,49170
2020-06-01,52919
2020-07-01,51140
2020-08-01,50571
2020-09-01,49137
2020-10-01,48559
2020-11-01,48336
2020-12-01,47466
2021-01-01,47598
2021-02-01,47654
2021-03-01,47657
2021-04-01,47765
2021-05-01,48280
2021-06-01,48597
2021-07-01,48949
2021-08-01,48678
2021-09-01,47896
2021-10-01,47631
2021-11-01,48058
2021-12-01,48023
2022-01-01,48317
2022-02-01,48382
2022-03-01,48827
2022-04-01,48745
2022-05-01,49332
2022-06-01,49534
2022-07-01,49602
2022-08-01,49467
2022-09-01,48890
2022-10-01,48527
2022-11-01,48890
2022-12-01,48806
2023-01-01,49494
2023-02-01,49778
2023-03-01,49674
2023-04-01,50187
2023-05-01,50833
2023-06-01,50921
2023-07-01,50904
2023-08-01,51452
2023-09-01,50574
2023-10-01,51458
