"Date","INDEKA3LFN"
2006-10-01,21297
2006-11-01,21110
2006-12-01,21033
2007-01-01,20985
2007-02-01,20624
2007-03-01,20804
2007-04-01,20646
2007-05-01,20828
2007-06-01,21075
2007-07-01,21089
2007-08-01,20797
2007-09-01,20589
2007-10-01,20361
2007-11-01,20076
2007-12-01,20121
2008-01-01,20409
2008-02-01,20331
2008-03-01,20379
2008-04-01,20430
2008-05-01,20705
2008-06-01,21050
2008-07-01,21162
2008-08-01,21071
2008-09-01,20656
2008-10-01,20782
2008-11-01,20736
2008-12-01,20670
2009-01-01,20631
2009-02-01,20628
2009-03-01,20578
2009-04-01,20518
2009-05-01,20714
2009-06-01,21174
2009-07-01,20879
2009-08-01,20573
2009-09-01,20334
2009-10-01,20133
2009-11-01,20081
2009-12-01,19851
2010-01-01,20690
2010-02-01,20539
2010-03-01,20578
2010-04-01,20702
2010-05-01,20832
2010-06-01,21014
2010-07-01,20911
2010-08-01,20725
2010-09-01,20277
2010-10-01,20261
2010-11-01,20335
2010-12-01,20227
2011-01-01,20412
2011-02-01,20264
2011-03-01,20358
2011-04-01,20449
2011-05-01,20740
2011-06-01,21136
2011-07-01,20988
2011-08-01,20587
2011-09-01,20398
2011-10-01,20400
2011-11-01,20292
2011-12-01,20344
2012-01-01,20518
2012-02-01,20473
2012-03-01,20455
2012-04-01,20434
2012-05-01,20667
2012-06-01,20960
2012-07-01,20941
2012-08-01,20613
2012-09-01,20441
2012-10-01,20560
2012-11-01,20444
2012-12-01,20552
2013-01-01,20845
2013-02-01,20778
2013-03-01,20794
2013-04-01,20846
2013-05-01,21069
2013-06-01,21385
2013-07-01,21340
2013-08-01,21129
2013-09-01,20959
2013-10-01,20852
2013-11-01,20947
2013-12-01,20793
2014-01-01,20803
2014-02-01,20909
2014-03-01,21078
2014-04-01,21015
2014-05-01,21292
2014-06-01,21678
2014-07-01,21664
2014-08-01,21449
2014-09-01,21187
2014-10-01,21426
2014-11-01,21428
2014-12-01,21289
2015-01-01,21582
2015-02-01,21451
2015-03-01,21548
2015-04-01,21518
2015-05-01,21841
2015-06-01,22208
2015-07-01,22221
2015-08-01,21993
2015-09-01,21647
2015-10-01,21741
2015-11-01,21870
2015-12-01,21760
2016-01-01,22140
2016-02-01,22042
2016-03-01,22171
2016-04-01,22215
2016-05-01,22455
2016-06-01,22701
2016-07-01,22910
2016-08-01,22505
2016-09-01,22026
2016-10-01,22081
2016-11-01,22012
2016-12-01,21824
2017-01-01,22131
2017-02-01,21972
2017-03-01,22160
2017-04-01,22175
2017-05-01,22337
2017-06-01,22666
2017-07-01,22759
2017-08-01,22552
2017-09-01,22150
2017-10-01,22099
2017-11-01,22118
2017-12-01,22072
2018-01-01,22125
2018-02-01,22370
2018-03-01,22421
2018-04-01,22466
2018-05-01,22670
2018-06-01,23088
2018-07-01,23244
2018-08-01,22720
2018-09-01,22322
2018-10-01,22501
2018-11-01,22436
2018-12-01,22512
2019-01-01,22742
2019-02-01,22714
2019-03-01,22755
2019-04-01,22658
2019-05-01,22772
2019-06-01,23126
2019-07-01,23335
2019-08-01,22909
2019-09-01,22658
2019-10-01,22830
2019-11-01,22670
2019-12-01,22625
2020-01-01,22797
2020-02-01,22715
2020-03-01,21935
2020-04-01,22100
2020-05-01,22320
2020-06-01,22388
2020-07-01,22489
2020-08-01,22405
2020-09-01,22162
2020-10-01,22490
2020-11-01,22361
2020-12-01,22200
2021-01-01,22381
2021-02-01,22209
2021-03-01,22287
2021-04-01,22197
2021-05-01,22293
2021-06-01,22529
2021-07-01,22611
2021-08-01,22179
2021-09-01,21968
2021-10-01,22034
2021-11-01,22040
2021-12-01,22067
2022-01-01,22228
2022-02-01,22336
2022-03-01,22320
2022-04-01,22405
2022-05-01,22591
2022-06-01,22889
2022-07-01,22996
2022-08-01,22625
2022-09-01,22340
2022-10-01,22441
2022-11-01,22308
2022-12-01,22384
2023-01-01,22470
2023-02-01,22404
2023-03-01,22600
2023-04-01,22598
2023-05-01,22610
2023-06-01,22641
2023-07-01,22699
2023-08-01,22379
2023-09-01,22077
2023-10-01,22143
