"Date","NVELKO7LFN"
2011-06-01,27732
2011-07-01,28147
2011-08-01,29015
2011-09-01,28525
2011-10-01,28523
2011-11-01,28087
2011-12-01,27766
2012-01-01,27829
2012-02-01,28042
2012-03-01,28468
2012-04-01,28358
2012-05-01,28939
2012-06-01,29314
2012-07-01,29669
2012-08-01,30105
2012-09-01,29576
2012-10-01,29268
2012-11-01,28524
2012-12-01,27987
2013-01-01,28103
2013-02-01,28235
2013-03-01,28295
2013-04-01,28178
2013-05-01,28527
2013-06-01,28888
2013-07-01,29183
2013-08-01,29348
2013-09-01,28936
2013-10-01,28542
2013-11-01,28210
2013-12-01,27634
2014-01-01,27452
2014-02-01,27272
2014-03-01,27602
2014-04-01,27175
2014-05-01,27929
2014-06-01,28222
2014-07-01,28299
2014-08-01,28107
2014-09-01,27820
2014-10-01,27652
2014-11-01,27163
2014-12-01,26815
2015-01-01,26128
2015-02-01,26204
2015-03-01,26502
2015-04-01,26197
2015-05-01,26778
2015-06-01,26876
2015-07-01,27110
2015-08-01,26685
2015-09-01,26409
2015-10-01,26239
2015-11-01,26166
2015-12-01,26449
2016-01-01,26159
2016-02-01,26408
2016-03-01,27004
2016-04-01,26631
2016-05-01,26977
2016-06-01,27125
2016-07-01,27000
2016-08-01,26877
2016-09-01,26730
2016-10-01,26522
2016-11-01,26678
2016-12-01,26395
2017-01-01,25724
2017-02-01,26283
2017-03-01,27061
2017-04-01,26633
2017-05-01,26737
2017-06-01,27231
2017-07-01,26983
2017-08-01,26815
2017-09-01,26560
2017-10-01,26316
2017-11-01,26256
2017-12-01,26205
2018-01-01,26517
2018-02-01,26900
2018-03-01,27391
2018-04-01,26830
2018-05-01,27265
2018-06-01,27743
2018-07-01,27910
2018-08-01,27410
2018-09-01,27557
2018-10-01,27539
2018-11-01,27446
2018-12-01,27027
2019-01-01,27240
2019-02-01,27544
2019-03-01,27821
2019-04-01,27328
2019-05-01,27528
2019-06-01,27561
2019-07-01,27385
2019-08-01,27322
2019-09-01,27312
2019-10-01,27712
2019-11-01,27160
2019-12-01,26833
2020-01-01,27581
2020-02-01,27615
2020-03-01,27006
2020-04-01,23892
2020-05-01,23579
2020-06-01,26456
2020-07-01,26436
2020-08-01,26584
2020-09-01,26704
2020-10-01,26568
2020-11-01,26035
2020-12-01,25816
2021-01-01,26294
2021-02-01,26543
2021-03-01,26495
2021-04-01,27231
2021-05-01,26647
2021-06-01,26493
2021-07-01,25317
2021-08-01,25087
2021-09-01,24684
2021-10-01,24395
2021-11-01,24300
2021-12-01,24115
2022-01-01,25287
2022-02-01,25771
2022-03-01,25909
2022-04-01,25910
2022-05-01,25934
2022-06-01,25767
2022-07-01,25721
2022-08-01,25765
2022-09-01,25515
2022-10-01,25276
2022-11-01,24944
2022-12-01,24716
2023-01-01,25113
2023-02-01,25353
2023-03-01,25396
2023-04-01,25643
2023-05-01,25849
2023-06-01,25878
2023-07-01,25735
2023-08-01,26024
2023-09-01,26019
2023-10-01,25980
