"Date","GAATKI3LFN"
2008-05-01,3403
2008-06-01,3409
2008-07-01,3400
2008-08-01,3458
2008-09-01,3337
2008-10-01,3410
2008-11-01,3421
2008-12-01,3346
2009-01-01,3314
2009-02-01,3361
2009-03-01,3434
2009-04-01,3422
2009-05-01,3460
2009-06-01,3345
2009-07-01,3254
2009-08-01,3236
2009-09-01,3111
2009-10-01,3258
2009-11-01,3132
2009-12-01,3287
2010-01-01,3492
2010-02-01,3463
2010-03-01,3520
2010-04-01,3551
2010-05-01,3560
2010-06-01,3523
2010-07-01,3461
2010-08-01,3428
2010-09-01,3379
2010-10-01,3442
2010-11-01,3389
2010-12-01,3344
2011-01-01,3374
2011-02-01,3346
2011-03-01,3438
2011-04-01,3543
2011-05-01,3622
2011-06-01,3726
2011-07-01,3533
2011-08-01,3559
2011-09-01,3471
2011-10-01,3470
2011-11-01,3395
2011-12-01,3363
2012-01-01,3296
2012-02-01,3304
2012-03-01,3427
2012-04-01,3485
2012-05-01,3691
2012-06-01,3609
2012-07-01,3529
2012-08-01,3459
2012-09-01,3392
2012-10-01,3365
2012-11-01,3340
2012-12-01,3293
2013-01-01,3481
2013-02-01,3427
2013-03-01,3475
2013-04-01,3498
2013-05-01,3724
2013-06-01,3748
2013-07-01,3594
2013-08-01,3477
2013-09-01,3351
2013-10-01,3317
2013-11-01,3280
2013-12-01,3390
2014-01-01,3540
2014-02-01,3551
2014-03-01,3600
2014-04-01,3528
2014-05-01,3634
2014-06-01,3673
2014-07-01,3658
2014-08-01,3637
2014-09-01,3634
2014-10-01,3666
2014-11-01,3624
2014-12-01,3571
2015-01-01,3740
2015-02-01,3708
2015-03-01,3777
2015-04-01,3726
2015-05-01,3899
2015-06-01,3912
2015-07-01,3823
2015-08-01,3820
2015-09-01,3815
2015-10-01,3815
2015-11-01,3939
2015-12-01,3875
2016-01-01,3961
2016-02-01,3815
2016-03-01,3959
2016-04-01,3854
2016-05-01,4025
2016-06-01,4061
2016-07-01,3925
2016-08-01,3924
2016-09-01,3907
2016-10-01,4045
2016-11-01,4149
2016-12-01,4090
2017-01-01,4232
2017-02-01,4129
2017-03-01,4141
2017-04-01,4127
2017-05-01,4200
2017-06-01,4330
2017-07-01,4184
2017-08-01,4124
2017-09-01,4199
2017-10-01,4249
2017-11-01,4228
2017-12-01,4331
2018-01-01,4584
2018-02-01,4431
2018-03-01,4317
2018-04-01,4408
2018-05-01,4380
2018-06-01,4433
2018-07-01,4342
2018-08-01,4277
2018-09-01,4243
2018-10-01,4311
2018-11-01,4399
2018-12-01,4346
2019-01-01,4514
2019-02-01,4527
2019-03-01,4514
2019-04-01,4738
2019-05-01,4668
2019-06-01,4551
2019-07-01,4736
2019-08-01,4648
2019-09-01,4559
2019-10-01,4496
2019-11-01,4480
2019-12-01,4433
2020-01-01,4666
2020-02-01,4613
2020-03-01,4502
2020-04-01,4267
2020-05-01,4462
2020-06-01,4429
2020-07-01,4301
2020-08-01,4328
2020-09-01,4301
2020-10-01,4619
2020-11-01,4612
2020-12-01,4519
2021-01-01,4695
2021-02-01,4564
2021-03-01,4536
2021-04-01,4497
2021-05-01,4476
2021-06-01,4434
2021-07-01,4435
2021-08-01,4443
2021-09-01,4344
2021-10-01,4271
2021-11-01,4240
2021-12-01,4283
2022-01-01,4374
2022-02-01,4313
2022-03-01,4359
2022-04-01,4448
2022-05-01,4500
2022-06-01,4402
2022-07-01,4447
2022-08-01,4324
2022-09-01,4352
2022-10-01,4406
2022-11-01,4311
2022-12-01,4255
2023-01-01,4302
2023-02-01,4262
2023-03-01,4250
2023-04-01,4340
2023-05-01,4455
2023-06-01,4396
2023-07-01,4380
2023-08-01,4343
2023-09-01,4405
2023-10-01,4390
