"Date","NCASHE9LFN"
2007-05-01,13302
2007-06-01,13244
2007-07-01,13018
2007-08-01,13100
2007-09-01,13134
2007-10-01,13049
2007-11-01,13286
2007-12-01,12915
2008-01-01,12359
2008-02-01,12215
2008-03-01,12380
2008-04-01,12584
2008-05-01,12681
2008-06-01,12794
2008-07-01,12474
2008-08-01,12751
2008-09-01,12771
2008-10-01,12691
2008-11-01,12897
2008-12-01,12660
2009-01-01,12700
2009-02-01,12790
2009-03-01,12649
2009-04-01,13042
2009-05-01,13050
2009-06-01,12687
2009-07-01,12360
2009-08-01,12467
2009-09-01,12498
2009-10-01,12688
2009-11-01,12806
2009-12-01,12392
2010-01-01,13655
2010-02-01,13700
2010-03-01,13673
2010-04-01,13990
2010-05-01,14076
2010-06-01,13895
2010-07-01,13617
2010-08-01,13743
2010-09-01,13758
2010-10-01,13907
2010-11-01,13880
2010-12-01,13359
2011-01-01,13008
2011-02-01,12989
2011-03-01,13207
2011-04-01,13251
2011-05-01,13418
2011-06-01,13460
2011-07-01,13283
2011-08-01,13395
2011-09-01,13436
2011-10-01,13583
2011-11-01,13563
2011-12-01,13220
2012-01-01,13070
2012-02-01,13339
2012-03-01,13143
2012-04-01,13213
2012-05-01,13533
2012-06-01,13388
2012-07-01,13228
2012-08-01,13326
2012-09-01,13361
2012-10-01,13480
2012-11-01,13494
2012-12-01,13055
2013-01-01,12926
2013-02-01,12797
2013-03-01,12735
2013-04-01,12876
2013-05-01,13111
2013-06-01,12912
2013-07-01,13043
2013-08-01,12976
2013-09-01,12786
2013-10-01,12781
2013-11-01,12933
2013-12-01,12648
2014-01-01,12392
2014-02-01,12304
2014-03-01,12371
2014-04-01,12437
2014-05-01,12662
2014-06-01,12383
2014-07-01,12421
2014-08-01,12371
2014-09-01,12324
2014-10-01,12571
2014-11-01,12594
2014-12-01,12109
2015-01-01,12161
2015-02-01,12089
2015-03-01,12208
2015-04-01,12236
2015-05-01,12489
2015-06-01,12391
2015-07-01,12366
2015-08-01,11984
2015-09-01,12449
2015-10-01,12605
2015-11-01,12547
2015-12-01,12040
2016-01-01,12092
2016-02-01,12219
2016-03-01,12488
2016-04-01,12606
2016-05-01,12582
2016-06-01,12346
2016-07-01,12480
2016-08-01,12595
2016-09-01,12628
2016-10-01,12607
2016-11-01,12622
2016-12-01,12354
2017-01-01,12065
2017-02-01,12310
2017-03-01,12402
2017-04-01,12500
2017-05-01,12545
2017-06-01,12394
2017-07-01,12545
2017-08-01,12601
2017-09-01,12736
2017-10-01,12701
2017-11-01,12559
2017-12-01,12436
2018-01-01,12168
2018-02-01,12526
2018-03-01,12402
2018-04-01,12542
2018-05-01,12698
2018-06-01,12580
2018-07-01,12646
2018-08-01,12503
2018-09-01,12642
2018-10-01,12568
2018-11-01,12467
2018-12-01,12393
2019-01-01,12393
2019-02-01,12607
2019-03-01,12442
2019-04-01,12625
2019-05-01,12825
2019-06-01,12608
2019-07-01,12834
2019-08-01,12810
2019-09-01,12941
2019-10-01,12908
2019-11-01,12944
2019-12-01,12971
2020-01-01,12754
2020-02-01,12948
2020-03-01,12233
2020-04-01,11391
2020-05-01,11603
2020-06-01,11945
2020-07-01,11910
2020-08-01,12229
2020-09-01,12402
2020-10-01,12489
2020-11-01,12416
2020-12-01,12296
2021-01-01,12192
2021-02-01,12258
2021-03-01,12316
2021-04-01,12427
2021-05-01,12524
2021-06-01,12786
2021-07-01,12623
2021-08-01,12741
2021-09-01,12736
2021-10-01,12874
2021-11-01,12920
2021-12-01,12688
2022-01-01,12678
2022-02-01,12766
2022-03-01,13057
2022-04-01,13097
2022-05-01,13169
2022-06-01,13000
2022-07-01,12808
2022-08-01,12956
2022-09-01,12980
2022-10-01,13019
2022-11-01,12817
2022-12-01,12676
2023-01-01,12710
2023-02-01,12721
2023-03-01,12867
2023-04-01,12740
2023-05-01,12938
2023-06-01,13048
2023-07-01,12916
2023-08-01,13104
2023-09-01,13058
2023-10-01,12937
