"Date","IAAPPA7LFN"
2019-03-01,6000
2019-04-01,6039
2019-05-01,6104
2019-06-01,6272
2019-07-01,6202
2019-08-01,6045
2019-09-01,5783
2019-10-01,6051
2019-11-01,6005
2019-12-01,5994
2020-01-01,5990
2020-02-01,6005
2020-03-01,5948
2020-04-01,5999
2020-05-01,5934
2020-06-01,6030
2020-07-01,5773
2020-08-01,5744
2020-09-01,5857
2020-10-01,5833
2020-11-01,5859
2020-12-01,5874
2021-01-01,5961
2021-02-01,5949
2021-03-01,5963
2021-04-01,6037
2021-05-01,6007
2021-06-01,6136
2021-07-01,6165
2021-08-01,5985
2021-09-01,5972
2021-10-01,6007
2021-11-01,5993
2021-12-01,5932
2022-01-01,6046
2022-02-01,6072
2022-03-01,6077
2022-04-01,6108
2022-05-01,6081
2022-06-01,6211
2022-07-01,6134
2022-08-01,5978
2022-09-01,5957
2022-10-01,6081
2022-11-01,6070
2022-12-01,6055
2023-01-01,6042
2023-02-01,6158
2023-03-01,6254
2023-04-01,6277
2023-05-01,6262
2023-06-01,6357
2023-07-01,6323
2023-08-01,6178
2023-09-01,6075
2023-10-01,6163
