"Date","KYKNOX1LFN"
2009-10-01,12686
2009-11-01,12680
2009-12-01,12793
2010-01-01,10687
2010-02-01,10583
2010-03-01,10622
2010-04-01,10719
2010-05-01,10760
2010-06-01,10944
2010-07-01,10965
2010-08-01,10671
2010-09-01,10657
2010-10-01,10619
2010-11-01,10679
2010-12-01,10596
2011-01-01,10669
2011-02-01,10617
2011-03-01,10643
2011-04-01,10651
2011-05-01,10686
2011-06-01,10862
2011-07-01,10803
2011-08-01,10568
2011-09-01,10637
2011-10-01,10656
2011-11-01,10571
2011-12-01,10552
2012-01-01,10352
2012-02-01,10396
2012-03-01,10424
2012-04-01,10368
2012-05-01,10479
2012-06-01,10813
2012-07-01,10856
2012-08-01,10660
2012-09-01,10652
2012-10-01,10597
2012-11-01,10549
2012-12-01,10590
2013-01-01,10620
2013-02-01,10517
2013-03-01,10599
2013-04-01,10547
2013-05-01,10573
2013-06-01,10806
2013-07-01,10642
2013-08-01,10427
2013-09-01,10460
2013-10-01,10418
2013-11-01,10362
2013-12-01,10307
2014-01-01,10341
2014-02-01,10401
2014-03-01,10417
2014-04-01,10195
2014-05-01,10208
2014-06-01,10357
2014-07-01,10150
2014-08-01,9923
2014-09-01,9888
2014-10-01,9889
2014-11-01,9839
2014-12-01,9852
2015-01-01,9725
2015-02-01,9649
2015-03-01,9729
2015-04-01,9708
2015-05-01,9825
2015-06-01,9942
2015-07-01,9797
2015-08-01,9743
2015-09-01,9643
2015-10-01,9643
2015-11-01,9681
2015-12-01,9667
2016-01-01,9897
2016-02-01,9857
2016-03-01,9914
2016-04-01,9694
2016-05-01,9798
2016-06-01,10015
2016-07-01,9916
2016-08-01,9932
2016-09-01,9925
2016-10-01,9940
2016-11-01,9911
2016-12-01,9944
2017-01-01,9947
2017-02-01,9980
2017-03-01,10103
2017-04-01,10011
2017-05-01,10063
2017-06-01,10230
2017-07-01,10066
2017-08-01,10118
2017-09-01,10100
2017-10-01,10063
2017-11-01,10041
2017-12-01,10004
2018-01-01,10017
2018-02-01,10094
2018-03-01,10064
2018-04-01,9997
2018-05-01,9979
2018-06-01,10246
2018-07-01,10010
2018-08-01,9896
2018-09-01,9866
2018-10-01,9873
2018-11-01,9899
2018-12-01,9862
2019-01-01,9851
2019-02-01,9900
2019-03-01,9949
2019-04-01,9947
2019-05-01,9885
2019-06-01,10044
2019-07-01,9967
2019-08-01,9983
2019-09-01,9907
2019-10-01,9948
2019-11-01,10005
2019-12-01,9918
2020-01-01,10023
2020-02-01,10058
2020-03-01,10084
2020-04-01,10078
2020-05-01,10038
2020-06-01,9578
2020-07-01,9638
2020-08-01,9767
2020-09-01,9789
2020-10-01,9793
2020-11-01,9892
2020-12-01,9775
2021-01-01,9879
2021-02-01,9947
2021-03-01,10093
2021-04-01,9922
2021-05-01,9813
2021-06-01,9968
2021-07-01,9841
2021-08-01,9761
2021-09-01,9829
2021-10-01,9903
2021-11-01,9985
2021-12-01,9924
2022-01-01,9963
2022-02-01,9973
2022-03-01,10084
2022-04-01,9859
2022-05-01,9758
2022-06-01,9904
2022-07-01,9847
2022-08-01,9917
2022-09-01,9955
2022-10-01,9986
2022-11-01,10013
2022-12-01,9899
2023-01-01,10021
2023-02-01,10252
2023-03-01,10297
2023-04-01,10129
2023-05-01,10080
2023-06-01,10271
2023-07-01,10011
2023-08-01,10090
2023-09-01,10076
2023-10-01,10086
