"Date","KYHNLFN"
2002-12-01,7482
2003-01-01,7437
2003-02-01,7527
2003-03-01,7555
2003-04-01,7604
2003-05-01,7690
2003-06-01,7839
2003-07-01,7733
2003-08-01,7622
2003-09-01,7615
2003-10-01,7636
2003-11-01,7676
2003-12-01,7713
2004-01-01,7735
2004-02-01,7736
2004-03-01,7732
2004-04-01,7697
2004-05-01,7724
2004-06-01,7815
2004-07-01,7774
2004-08-01,7743
2004-09-01,7728
2004-10-01,7759
2004-11-01,7852
2004-12-01,7843
2005-01-01,7814
2005-02-01,7810
2005-03-01,7823
2005-04-01,7809
2005-05-01,7860
2005-06-01,7965
2005-07-01,7881
2005-08-01,7891
2005-09-01,7849
2005-10-01,7890
2005-11-01,7943
2005-12-01,7918
2006-01-01,7841
2006-02-01,7872
2006-03-01,7948
2006-04-01,7941
2006-05-01,8000
2006-06-01,8143
2006-07-01,8072
2006-08-01,8080
2006-09-01,8118
2006-10-01,8064
2006-11-01,8125
2006-12-01,8141
2007-01-01,7897
2007-02-01,7824
2007-03-01,7798
2007-04-01,7778
2007-05-01,7807
2007-06-01,7924
2007-07-01,7878
2007-08-01,7759
2007-09-01,7780
2007-10-01,7830
2007-11-01,7806
2007-12-01,7900
2008-01-01,7723
2008-02-01,7676
2008-03-01,7685
2008-04-01,7709
2008-05-01,7806
2008-06-01,7945
2008-07-01,7852
2008-08-01,7864
2008-09-01,7794
2008-10-01,7804
2008-11-01,7832
2008-12-01,7856
2009-01-01,8021
2009-02-01,8015
2009-03-01,8057
2009-04-01,8010
2009-05-01,8064
2009-06-01,8266
2009-07-01,8078
2009-08-01,7954
2009-09-01,7939
2009-10-01,7798
2009-11-01,7940
2009-12-01,7858
2010-01-01,7749
2010-02-01,7837
2010-03-01,7890
2010-04-01,7889
2010-05-01,7869
2010-06-01,7959
2010-07-01,7934
2010-08-01,7904
2010-09-01,7883
2010-10-01,7872
2010-11-01,7892
2010-12-01,7794
2011-01-01,7703
2011-02-01,7741
2011-03-01,7830
2011-04-01,7758
2011-05-01,7787
2011-06-01,7896
2011-07-01,7843
2011-08-01,7801
2011-09-01,7751
2011-10-01,7735
2011-11-01,7725
2011-12-01,7663
2012-01-01,7526
2012-02-01,7498
2012-03-01,7646
2012-04-01,7579
2012-05-01,7723
2012-06-01,7880
2012-07-01,7785
2012-08-01,7745
2012-09-01,7716
2012-10-01,7792
2012-11-01,7779
2012-12-01,7770
2013-01-01,7689
2013-02-01,7683
2013-03-01,7774
2013-04-01,7704
2013-05-01,7787
2013-06-01,7945
2013-07-01,7839
2013-08-01,7832
2013-09-01,7744
2013-10-01,7747
2013-11-01,7752
2013-12-01,7664
2014-01-01,7622
2014-02-01,7600
2014-03-01,7733
2014-04-01,7582
2014-05-01,7621
2014-06-01,7775
2014-07-01,7709
2014-08-01,7660
2014-09-01,7589
2014-10-01,7600
2014-11-01,7635
2014-12-01,7590
2015-01-01,7654
2015-02-01,7641
2015-03-01,7731
2015-04-01,7574
2015-05-01,7634
2015-06-01,7793
2015-07-01,7651
2015-08-01,7584
2015-09-01,7533
2015-10-01,7655
2015-11-01,7731
2015-12-01,7740
2016-01-01,7842
2016-02-01,7818
2016-03-01,7931
2016-04-01,7914
2016-05-01,7902
2016-06-01,8037
2016-07-01,7975
2016-08-01,7958
2016-09-01,7875
2016-10-01,7906
2016-11-01,7984
2016-12-01,7986
2017-01-01,8066
2017-02-01,8049
2017-03-01,8108
2017-04-01,8163
2017-05-01,8187
2017-06-01,8283
2017-07-01,8262
2017-08-01,8113
2017-09-01,8077
2017-10-01,8079
2017-11-01,8130
2017-12-01,8107
2018-01-01,8140
2018-02-01,8110
2018-03-01,8153
2018-04-01,8169
2018-05-01,8265
2018-06-01,8381
2018-07-01,8403
2018-08-01,8147
2018-09-01,8147
2018-10-01,8153
2018-11-01,8235
2018-12-01,8225
2019-01-01,8155
2019-02-01,8120
2019-03-01,8151
2019-04-01,8132
2019-05-01,8278
2019-06-01,8401
2019-07-01,8421
2019-08-01,8299
2019-09-01,8219
2019-10-01,8269
2019-11-01,8325
2019-12-01,8356
2020-01-01,8184
2020-02-01,8143
2020-03-01,8120
2020-04-01,8069
2020-05-01,8225
2020-06-01,7763
2020-07-01,7876
2020-08-01,7942
2020-09-01,7888
2020-10-01,7994
2020-11-01,8017
2020-12-01,8052
2021-01-01,8032
2021-02-01,7957
2021-03-01,8019
2021-04-01,7984
2021-05-01,8061
2021-06-01,8199
2021-07-01,8236
2021-08-01,8192
2021-09-01,8067
2021-10-01,8153
2021-11-01,8228
2021-12-01,8250
2022-01-01,8274
2022-02-01,8118
2022-03-01,8310
2022-04-01,8058
2022-05-01,8154
2022-06-01,8181
2022-07-01,8281
2022-08-01,8196
2022-09-01,8120
2022-10-01,8119
2022-11-01,8055
2022-12-01,8066
2023-01-01,8071
2023-02-01,8033
2023-03-01,8018
2023-04-01,8091
2023-05-01,8118
2023-06-01,8089
2023-07-01,8059
2023-08-01,8026
2023-09-01,7954
2023-10-01,7954
