"Date","DHIDFHDMIE"
2016-07-01,29.0069035985496
2016-08-01,24.1866329237689
2016-09-01,28.413059195108
2016-10-01,35.8404510043444
2016-11-01,31.3038740760608
2016-12-01,31.7740806003769
2017-01-01,29.0077505679103
2017-02-01,32.124991668362
2017-03-01,33.920830183904
2017-04-01,25.2046663323923
2017-05-01,26.0265336279634
2017-06-01,32.9046293541133
2017-07-01,29.1030318346035
2017-08-01,27.9181171612602
2017-09-01,28.7982993657568
2017-10-01,27.7683498661362
2017-11-01,24.7334548015912
2017-12-01,23.2870944156611
2018-01-01,21.680983630584
2018-02-01,28.0839469563346
2018-03-01,29.0763033552144
2018-04-01,31.3113102871239
