"Date","SCBAMB9LFN"
2015-12-01,5315
2016-01-01,5295
2016-02-01,5285
2016-03-01,5263
2016-04-01,5187
2016-05-01,5236
2016-06-01,5328
2016-07-01,5405
2016-08-01,5452
2016-09-01,5281
2016-10-01,5334
2016-11-01,5239
2016-12-01,5234
2017-01-01,5159
2017-02-01,5107
2017-03-01,5052
2017-04-01,5030
2017-05-01,5020
2017-06-01,5074
2017-07-01,5037
2017-08-01,5026
2017-09-01,4918
2017-10-01,4974
2017-11-01,4962
2017-12-01,5017
2018-01-01,5072
2018-02-01,5012
2018-03-01,4910
2018-04-01,4892
2018-05-01,4881
2018-06-01,4956
2018-07-01,4869
2018-08-01,4875
2018-09-01,4857
2018-10-01,4817
2018-11-01,4804
2018-12-01,4877
2019-01-01,4986
2019-02-01,4913
2019-03-01,4815
2019-04-01,4879
2019-05-01,4931
2019-06-01,4845
2019-07-01,4812
2019-08-01,4842
2019-09-01,4711
2019-10-01,4793
2019-11-01,4739
2019-12-01,4777
2020-01-01,4817
2020-02-01,4837
2020-03-01,4745
2020-04-01,4816
2020-05-01,4857
2020-06-01,4697
2020-07-01,4687
2020-08-01,4747
2020-09-01,4624
2020-10-01,4768
2020-11-01,4681
2020-12-01,4732
2021-01-01,4709
2021-02-01,4706
2021-03-01,4654
2021-04-01,4652
2021-05-01,4688
2021-06-01,4777
2021-07-01,4656
2021-08-01,4645
2021-09-01,4567
2021-10-01,4438
2021-11-01,4426
2021-12-01,4450
2022-01-01,4550
2022-02-01,4492
2022-03-01,4574
2022-04-01,4505
2022-05-01,4603
2022-06-01,4640
2022-07-01,4411
2022-08-01,4535
2022-09-01,4517
2022-10-01,4535
2022-11-01,4447
2022-12-01,4462
2023-01-01,4523
2023-02-01,4559
2023-03-01,4558
2023-04-01,4536
2023-05-01,4609
2023-06-01,4636
2023-07-01,4611
2023-08-01,4596
2023-09-01,4597
2023-10-01,4591
