"Date","MOCMLFN"
2001-05-01,20885
2001-06-01,21937
2001-07-01,22309
2001-08-01,21433
2001-09-01,20807
2001-10-01,20201
2001-11-01,19667
2001-12-01,19307
2002-01-01,18603
2002-02-01,18832
2002-03-01,19239
2002-04-01,19997
2002-05-01,20880
2002-06-01,21857
2002-07-01,22164
2002-08-01,21374
2002-09-01,20596
2002-10-01,20016
2002-11-01,19482
2002-12-01,19027
2003-01-01,18973
2003-02-01,18867
2003-03-01,19209
2003-04-01,20148
2003-05-01,21045
2003-06-01,21984
2003-07-01,22383
2003-08-01,21388
2003-09-01,20865
2003-10-01,20059
2003-11-01,19810
2003-12-01,19696
2004-01-01,19495
2004-02-01,19408
2004-03-01,19648
2004-04-01,20376
2004-05-01,21092
2004-06-01,22422
2004-07-01,22736
2004-08-01,21792
2004-09-01,21194
2004-10-01,20820
2004-11-01,20327
2004-12-01,20342
2005-01-01,20240
2005-02-01,20330
2005-03-01,21138
2005-04-01,22455
2005-05-01,23032
2005-06-01,23831
2005-07-01,24313
2005-08-01,23335
2005-09-01,22676
2005-10-01,22200
2005-11-01,21732
2005-12-01,21353
2006-01-01,20845
2006-02-01,20845
2006-03-01,21149
2006-04-01,22200
2006-05-01,22905
2006-06-01,23942
2006-07-01,24365
2006-08-01,23512
2006-09-01,22956
2006-10-01,22334
2006-11-01,21879
2006-12-01,21595
2007-01-01,20795
2007-02-01,20812
2007-03-01,21164
2007-04-01,21898
2007-05-01,22561
2007-06-01,23680
2007-07-01,23938
2007-08-01,23436
2007-09-01,22617
2007-10-01,22067
2007-11-01,21785
2007-12-01,21551
2008-01-01,21469
2008-02-01,21419
2008-03-01,21730
2008-04-01,22419
2008-05-01,22547
2008-06-01,24259
2008-07-01,24236
2008-08-01,24200
2008-09-01,23214
2008-10-01,22591
2008-11-01,22297
2008-12-01,22164
2009-01-01,21277
2009-02-01,21395
2009-03-01,21780
2009-04-01,22017
2009-05-01,22834
2009-06-01,23765
2009-07-01,24228
2009-08-01,23587
2009-09-01,22369
2009-10-01,21229
2009-11-01,20976
2009-12-01,20619
2010-01-01,18406
2010-02-01,18437
2010-03-01,18786
2010-04-01,19319
2010-05-01,19954
2010-06-01,20722
2010-07-01,20774
2010-08-01,20039
2010-09-01,19811
2010-10-01,18920
2010-11-01,18703
2010-12-01,18613
2011-01-01,18196
2011-02-01,18255
2011-03-01,18554
2011-04-01,18791
2011-05-01,19403
2011-06-01,20360
2011-07-01,20493
2011-08-01,19945
2011-09-01,19383
2011-10-01,18833
2011-11-01,18429
2011-12-01,18183
2012-01-01,17910
2012-02-01,17896
2012-03-01,18256
2012-04-01,18594
2012-05-01,19208
2012-06-01,20088
2012-07-01,20336
2012-08-01,19645
2012-09-01,19210
2012-10-01,18645
2012-11-01,18325
2012-12-01,18133
2013-01-01,17799
2013-02-01,17553
2013-03-01,17721
2013-04-01,18454
2013-05-01,19232
2013-06-01,20150
2013-07-01,20371
2013-08-01,19658
2013-09-01,19215
2013-10-01,18531
2013-11-01,18333
2013-12-01,18071
2014-01-01,17728
2014-02-01,17693
2014-03-01,17977
2014-04-01,18398
2014-05-01,19297
2014-06-01,20153
2014-07-01,20217
2014-08-01,19529
2014-09-01,19276
2014-10-01,18419
2014-11-01,18140
2014-12-01,18033
2015-01-01,17653
2015-02-01,17619
2015-03-01,17737
2015-04-01,18336
2015-05-01,19236
2015-06-01,20070
2015-07-01,20266
2015-08-01,19654
2015-09-01,19335
2015-10-01,18375
2015-11-01,17821
2015-12-01,17626
2016-01-01,17425
2016-02-01,17564
2016-03-01,17731
2016-04-01,18616
2016-05-01,19188
2016-06-01,20423
2016-07-01,20469
2016-08-01,19634
2016-09-01,19475
2016-10-01,18337
2016-11-01,17758
2016-12-01,17847
2017-01-01,17818
2017-02-01,17946
2017-03-01,18129
2017-04-01,18726
2017-05-01,19287
2017-06-01,20369
2017-07-01,20814
2017-08-01,19925
2017-09-01,19234
2017-10-01,18427
2017-11-01,17835
2017-12-01,17818
2018-01-01,17385
2018-02-01,17492
2018-03-01,17968
2018-04-01,18273
2018-05-01,19258
2018-06-01,20247
2018-07-01,20378
2018-08-01,19643
2018-09-01,18825
2018-10-01,18214
2018-11-01,17608
2018-12-01,17695
2019-01-01,17597
2019-02-01,17730
2019-03-01,17978
2019-04-01,18152
2019-05-01,19026
2019-06-01,20290
2019-07-01,20618
2019-08-01,19975
2019-09-01,19140
2019-10-01,18627
2019-11-01,18117
2019-12-01,18102
2020-01-01,18061
2020-02-01,17993
2020-03-01,18221
2020-04-01,17102
2020-05-01,17683
2020-06-01,19906
2020-07-01,20878
2020-08-01,20246
2020-09-01,19459
2020-10-01,18883
2020-11-01,18397
2020-12-01,18077
2021-01-01,17992
2021-02-01,17814
2021-03-01,18466
2021-04-01,18827
2021-05-01,19556
2021-06-01,20653
2021-07-01,20630
2021-08-01,20085
2021-09-01,19413
2021-10-01,18869
2021-11-01,18484
2021-12-01,18446
2022-01-01,18317
2022-02-01,18220
2022-03-01,18647
2022-04-01,18767
2022-05-01,19778
2022-06-01,20626
2022-07-01,20521
2022-08-01,20109
2022-09-01,19152
2022-10-01,18592
2022-11-01,18160
2022-12-01,18059
2023-01-01,17759
2023-02-01,17821
2023-03-01,18533
2023-04-01,19184
2023-05-01,19955
2023-06-01,21442
2023-07-01,21265
2023-08-01,20787
2023-09-01,19988
2023-10-01,19436
