"Date","KYMSLFN"
1998-05-01,14591
1998-06-01,14751
1998-07-01,14419
1998-08-01,14455
1998-09-01,14366
1998-10-01,14307
1998-11-01,14567
1998-12-01,14720
1999-01-01,14565
1999-02-01,14495
1999-03-01,14610
1999-04-01,14662
1999-05-01,14680
1999-06-01,14827
1999-07-01,14622
1999-08-01,14582
1999-09-01,14600
1999-10-01,14580
1999-11-01,14813
1999-12-01,14862
2000-01-01,14382
2000-02-01,14454
2000-03-01,14627
2000-04-01,14731
2000-05-01,14905
2000-06-01,15093
2000-07-01,14933
2000-08-01,14974
2000-09-01,14837
2000-10-01,14767
2000-11-01,14743
2000-12-01,14635
2001-01-01,14775
2001-02-01,14782
2001-03-01,14834
2001-04-01,14975
2001-05-01,14972
2001-06-01,15268
2001-07-01,15196
2001-08-01,14843
2001-09-01,14762
2001-10-01,14556
2001-11-01,14389
2001-12-01,14499
2002-01-01,14475
2002-02-01,14473
2002-03-01,14578
2002-04-01,14600
2002-05-01,14757
2002-06-01,15138
2002-07-01,14999
2002-08-01,14670
2002-09-01,14508
2002-10-01,14418
2002-11-01,14322
2002-12-01,14132
2003-01-01,14064
2003-02-01,14149
2003-03-01,14317
2003-04-01,14340
2003-05-01,14667
2003-06-01,15188
2003-07-01,15043
2003-08-01,14605
2003-09-01,14481
2003-10-01,14330
2003-11-01,14302
2003-12-01,14219
2004-01-01,14195
2004-02-01,14144
2004-03-01,14196
2004-04-01,14265
2004-05-01,14472
2004-06-01,14743
2004-07-01,14703
2004-08-01,14369
2004-09-01,14149
2004-10-01,13977
2004-11-01,13941
2004-12-01,13939
2005-01-01,14019
2005-02-01,14091
2005-03-01,14166
2005-04-01,14425
2005-05-01,14643
2005-06-01,14740
2005-07-01,14845
2005-08-01,14548
2005-09-01,14357
2005-10-01,14179
2005-11-01,14221
2005-12-01,14191
2006-01-01,14262
2006-02-01,14324
2006-03-01,14520
2006-04-01,14597
2006-05-01,15302
2006-06-01,15117
2006-07-01,15140
2006-08-01,14805
2006-09-01,14614
2006-10-01,14612
2006-11-01,14589
2006-12-01,14677
2007-01-01,14615
2007-02-01,14691
2007-03-01,14828
2007-04-01,14917
2007-05-01,15109
2007-06-01,15240
2007-07-01,15220
2007-08-01,14910
2007-09-01,14745
2007-10-01,14505
2007-11-01,14555
2007-12-01,14500
2008-01-01,14420
2008-02-01,14425
2008-03-01,14493
2008-04-01,14570
2008-05-01,14817
2008-06-01,14904
2008-07-01,15130
2008-08-01,15026
2008-09-01,14824
2008-10-01,14959
2008-11-01,14885
2008-12-01,14807
2009-01-01,14428
2009-02-01,14520
2009-03-01,14616
2009-04-01,14674
2009-05-01,14850
2009-06-01,15128
2009-07-01,15089
2009-08-01,14819
2009-09-01,14722
2009-10-01,14547
2009-11-01,14470
2009-12-01,14570
2010-01-01,15269
2010-02-01,15261
2010-03-01,15303
2010-04-01,15549
2010-05-01,15706
2010-06-01,15785
2010-07-01,15623
2010-08-01,15473
2010-09-01,15428
2010-10-01,15453
2010-11-01,15493
2010-12-01,15454
2011-01-01,15302
2011-02-01,15305
2011-03-01,15494
2011-04-01,15545
2011-05-01,15901
2011-06-01,15880
2011-07-01,15639
2011-08-01,15455
2011-09-01,15375
2011-10-01,15318
2011-11-01,15240
2011-12-01,15302
2012-01-01,15303
2012-02-01,15337
2012-03-01,15451
2012-04-01,15249
2012-05-01,15404
2012-06-01,15652
2012-07-01,15464
2012-08-01,15404
2012-09-01,15381
2012-10-01,15294
2012-11-01,15278
2012-12-01,15293
2013-01-01,15175
2013-02-01,15070
2013-03-01,15158
2013-04-01,15130
2013-05-01,15454
2013-06-01,15788
2013-07-01,15702
2013-08-01,15505
2013-09-01,15512
2013-10-01,15212
2013-11-01,15094
2013-12-01,15112
2014-01-01,15098
2014-02-01,15106
2014-03-01,15393
2014-04-01,15250
2014-05-01,15178
2014-06-01,15340
2014-07-01,14899
2014-08-01,14932
2014-09-01,14699
2014-10-01,14693
2014-11-01,14634
2014-12-01,14358
2015-01-01,14180
2015-02-01,14284
2015-03-01,14507
2015-04-01,15119
2015-05-01,15275
2015-06-01,15402
2015-07-01,15110
2015-08-01,15047
2015-09-01,14849
2015-10-01,14621
2015-11-01,14615
2015-12-01,14668
2016-01-01,14560
2016-02-01,14702
2016-03-01,14831
2016-04-01,14870
2016-05-01,14949
2016-06-01,15306
2016-07-01,15167
2016-08-01,15006
2016-09-01,14992
2016-10-01,14878
2016-11-01,14821
2016-12-01,14855
2017-01-01,14731
2017-02-01,14924
2017-03-01,15586
2017-04-01,15216
2017-05-01,15178
2017-06-01,15486
2017-07-01,15135
2017-08-01,15023
2017-09-01,14955
2017-10-01,14753
2017-11-01,14706
2017-12-01,14736
2018-01-01,14596
2018-02-01,14722
2018-03-01,14961
2018-04-01,15188
2018-05-01,15202
2018-06-01,15507
2018-07-01,15270
2018-08-01,14957
2018-09-01,14993
2018-10-01,14625
2018-11-01,14542
2018-12-01,14605
2019-01-01,14706
2019-02-01,14832
2019-03-01,15004
2019-04-01,14991
2019-05-01,15176
2019-06-01,15437
2019-07-01,15441
2019-08-01,15311
2019-09-01,15324
2019-10-01,15115
2019-11-01,14919
2019-12-01,15027
2020-01-01,14931
2020-02-01,15215
2020-03-01,15275
2020-04-01,14949
2020-05-01,15055
2020-06-01,14700
2020-07-01,14531
2020-08-01,14743
2020-09-01,14776
2020-10-01,14775
2020-11-01,14411
2020-12-01,14216
2021-01-01,14085
2021-02-01,14120
2021-03-01,14356
2021-04-01,14342
2021-05-01,14372
2021-06-01,14652
2021-07-01,14587
2021-08-01,14419
2021-09-01,14459
2021-10-01,14436
2021-11-01,14473
2021-12-01,14370
2022-01-01,14372
2022-02-01,14521
2022-03-01,14639
2022-04-01,14755
2022-05-01,14828
2022-06-01,15021
2022-07-01,14784
2022-08-01,14651
2022-09-01,14505
2022-10-01,14413
2022-11-01,14290
2022-12-01,14270
2023-01-01,14338
2023-02-01,14389
2023-03-01,14404
2023-04-01,14342
2023-05-01,14558
2023-06-01,14683
2023-07-01,14323
2023-08-01,14475
2023-09-01,14435
2023-10-01,14295
