"Date","INSTAR9LFN"
2003-10-01,10492
2003-11-01,10461
2003-12-01,10399
2004-01-01,10341
2004-02-01,10300
2004-03-01,10437
2004-04-01,10394
2004-05-01,10461
2004-06-01,10629
2004-07-01,10598
2004-08-01,10462
2004-09-01,10510
2004-10-01,10578
2004-11-01,10581
2004-12-01,10514
2005-01-01,10465
2005-02-01,10511
2005-03-01,10508
2005-04-01,10621
2005-05-01,10608
2005-06-01,10816
2005-07-01,10736
2005-08-01,10698
2005-09-01,10789
2005-10-01,10659
2005-11-01,10647
2005-12-01,10418
2006-01-01,10470
2006-02-01,10543
2006-03-01,10613
2006-04-01,10562
2006-05-01,10580
2006-06-01,10795
2006-07-01,10586
2006-08-01,10454
2006-09-01,10665
2006-10-01,10608
2006-11-01,10603
2006-12-01,10555
2007-01-01,10445
2007-02-01,10413
2007-03-01,10399
2007-04-01,10307
2007-05-01,10336
2007-06-01,10570
2007-07-01,10579
2007-08-01,10477
2007-09-01,10533
2007-10-01,10440
2007-11-01,10422
2007-12-01,10336
2008-01-01,10613
2008-02-01,10516
2008-03-01,10505
2008-04-01,10431
2008-05-01,10688
2008-06-01,10894
2008-07-01,10851
2008-08-01,10915
2008-09-01,10724
2008-10-01,10984
2008-11-01,10896
2008-12-01,10896
2009-01-01,10858
2009-02-01,10892
2009-03-01,10944
2009-04-01,10917
2009-05-01,10989
2009-06-01,11245
2009-07-01,10842
2009-08-01,10894
2009-09-01,10596
2009-10-01,10599
2009-11-01,10491
2009-12-01,10494
2010-01-01,10333
2010-02-01,10398
2010-03-01,10354
2010-04-01,10536
2010-05-01,10610
2010-06-01,10744
2010-07-01,10532
2010-08-01,10575
2010-09-01,10272
2010-10-01,10384
2010-11-01,10310
2010-12-01,10206
2011-01-01,10357
2011-02-01,10339
2011-03-01,10372
2011-04-01,10390
2011-05-01,10525
2011-06-01,10732
2011-07-01,10410
2011-08-01,10460
2011-09-01,10234
2011-10-01,10254
2011-11-01,10110
2011-12-01,10005
2012-01-01,10092
2012-02-01,10031
2012-03-01,10082
2012-04-01,10067
2012-05-01,10188
2012-06-01,10389
2012-07-01,10176
2012-08-01,10105
2012-09-01,10061
2012-10-01,10158
2012-11-01,10017
2012-12-01,9988
2013-01-01,10214
2013-02-01,10133
2013-03-01,10162
2013-04-01,10210
2013-05-01,10324
2013-06-01,10654
2013-07-01,10338
2013-08-01,10389
2013-09-01,10267
2013-10-01,10071
2013-11-01,10032
2013-12-01,9919
2014-01-01,10085
2014-02-01,10184
2014-03-01,10199
2014-04-01,10235
2014-05-01,10340
2014-06-01,10474
2014-07-01,10466
2014-08-01,10294
2014-09-01,10142
2014-10-01,10245
2014-11-01,10102
2014-12-01,10080
2015-01-01,10296
2015-02-01,10330
2015-03-01,10353
2015-04-01,10382
2015-05-01,10648
2015-06-01,10845
2015-07-01,10503
2015-08-01,10624
2015-09-01,10523
2015-10-01,10617
2015-11-01,10734
2015-12-01,10692
2016-01-01,10751
2016-02-01,10796
2016-03-01,11068
2016-04-01,11008
2016-05-01,11168
2016-06-01,11260
2016-07-01,11015
2016-08-01,10912
2016-09-01,10676
2016-10-01,10684
2016-11-01,10637
2016-12-01,10448
2017-01-01,10347
2017-02-01,10319
2017-03-01,10441
2017-04-01,10404
2017-05-01,10621
2017-06-01,10757
2017-07-01,10607
2017-08-01,10599
2017-09-01,10437
2017-10-01,10352
2017-11-01,10317
2017-12-01,10238
2018-01-01,10245
2018-02-01,10344
2018-03-01,10492
2018-04-01,10426
2018-05-01,10615
2018-06-01,10813
2018-07-01,10748
2018-08-01,10516
2018-09-01,10320
2018-10-01,10261
2018-11-01,10256
2018-12-01,10263
2019-01-01,9941
2019-02-01,9918
2019-03-01,9983
2019-04-01,9900
2019-05-01,10089
2019-06-01,10254
2019-07-01,10102
2019-08-01,9981
2019-09-01,9885
2019-10-01,9894
2019-11-01,9839
2019-12-01,9857
2020-01-01,9797
2020-02-01,9867
2020-03-01,9567
2020-04-01,9442
2020-05-01,9582
2020-06-01,9987
2020-07-01,9864
2020-08-01,9899
2020-09-01,9932
2020-10-01,10020
2020-11-01,9929
2020-12-01,9901
2021-01-01,9898
2021-02-01,9669
2021-03-01,9644
2021-04-01,9742
2021-05-01,9786
2021-06-01,9943
2021-07-01,9683
2021-08-01,9544
2021-09-01,9580
2021-10-01,9467
2021-11-01,9365
2021-12-01,9269
2022-01-01,9292
2022-02-01,9405
2022-03-01,9370
2022-04-01,9533
2022-05-01,9594
2022-06-01,9857
2022-07-01,9659
2022-08-01,9693
2022-09-01,9659
2022-10-01,9644
2022-11-01,9515
2022-12-01,9573
2023-01-01,9510
2023-02-01,9495
2023-03-01,9666
2023-04-01,9718
2023-05-01,9793
2023-06-01,10057
2023-07-01,9961
2023-08-01,9902
2023-09-01,9773
2023-10-01,9666
