"Date","TXHALL1LFN"
2016-06-01,1206
2016-07-01,1157
2016-08-01,1164
2016-09-01,1162
2016-10-01,1148
2016-11-01,1122
2016-12-01,1096
2017-01-01,1089
2017-02-01,1117
2017-03-01,1155
2017-04-01,1162
2017-05-01,1161
2017-06-01,1147
2017-07-01,1098
2017-08-01,1115
2017-09-01,1097
2017-10-01,1119
2017-11-01,1095
2017-12-01,1097
2018-01-01,1077
2018-02-01,1086
2018-03-01,1132
2018-04-01,1126
2018-05-01,1143
2018-06-01,1128
2018-07-01,1100
2018-08-01,1109
2018-09-01,1106
2018-10-01,1092
2018-11-01,1079
2018-12-01,1047
2019-01-01,1021
2019-02-01,1060
2019-03-01,1081
2019-04-01,1064
2019-05-01,1071
2019-06-01,1072
2019-07-01,1050
2019-08-01,1075
2019-09-01,1048
2019-10-01,1072
2019-11-01,1052
2019-12-01,1051
2020-01-01,1036
2020-02-01,1062
2020-03-01,1069
2020-04-01,1053
2020-05-01,1048
2020-06-01,1049
2020-07-01,1066
2020-08-01,1098
2020-09-01,1084
2020-10-01,1094
2020-11-01,1059
2020-12-01,1048
2021-01-01,1081
2021-02-01,1102
2021-03-01,1134
2021-04-01,1112
2021-05-01,1096
2021-06-01,1086
2021-07-01,1093
2021-08-01,1110
2021-09-01,1107
2021-10-01,1061
2021-11-01,1052
2021-12-01,1043
2022-01-01,1081
2022-02-01,1126
2022-03-01,1159
2022-04-01,1138
2022-05-01,1114
2022-06-01,1123
2022-07-01,1155
2022-08-01,1108
2022-09-01,1062
2022-10-01,1014
2022-11-01,1014
2022-12-01,1016
2023-01-01,1055
2023-02-01,1088
2023-03-01,1104
2023-04-01,1086
2023-05-01,1082
2023-06-01,1095
2023-07-01,1105
2023-08-01,1095
2023-09-01,1083
2023-10-01,1046
