"Date","OKCART9LFN"
1999-05-01,20443
1999-06-01,20977
1999-07-01,20512
1999-08-01,19983
1999-09-01,19983
1999-10-01,20249
1999-11-01,20227
1999-12-01,20075
2000-01-01,20492
2000-02-01,20500
2000-03-01,20775
2000-04-01,20791
2000-05-01,20860
2000-06-01,21391
2000-07-01,20916
2000-08-01,20697
2000-09-01,20998
2000-10-01,21044
2000-11-01,20842
2000-12-01,20875
2001-01-01,20890
2001-02-01,20893
2001-03-01,21093
2001-04-01,21318
2001-05-01,21303
2001-06-01,21825
2001-07-01,21593
2001-08-01,21335
2001-09-01,21340
2001-10-01,21741
2001-11-01,21921
2001-12-01,21925
2002-01-01,21545
2002-02-01,21644
2002-03-01,21653
2002-04-01,21454
2002-05-01,21673
2002-06-01,22152
2002-07-01,21830
2002-08-01,21596
2002-09-01,21690
2002-10-01,22040
2002-11-01,22122
2002-12-01,22183
2003-01-01,22398
2003-02-01,22389
2003-03-01,22236
2003-04-01,22802
2003-05-01,22976
2003-06-01,23383
2003-07-01,23096
2003-08-01,22834
2003-09-01,23079
2003-10-01,23023
2003-11-01,23013
2003-12-01,22909
2004-01-01,22591
2004-02-01,22506
2004-03-01,22423
2004-04-01,22670
2004-05-01,22883
2004-06-01,23594
2004-07-01,23291
2004-08-01,23086
2004-09-01,23578
2004-10-01,23787
2004-11-01,24001
2004-12-01,23898
2005-01-01,23430
2005-02-01,23546
2005-03-01,23452
2005-04-01,23698
2005-05-01,23715
2005-06-01,24188
2005-07-01,23472
2005-08-01,23407
2005-09-01,23508
2005-10-01,23745
2005-11-01,23726
2005-12-01,23692
2006-01-01,23533
2006-02-01,23538
2006-03-01,23511
2006-04-01,23690
2006-05-01,23773
2006-06-01,24733
2006-07-01,24003
2006-08-01,24219
2006-09-01,24532
2006-10-01,24659
2006-11-01,24647
2006-12-01,24564
2007-01-01,25558
2007-02-01,25486
2007-03-01,25358
2007-04-01,25287
2007-05-01,25303
2007-06-01,26120
2007-07-01,26083
2007-08-01,25491
2007-09-01,25599
2007-10-01,25488
2007-11-01,25554
2007-12-01,25432
2008-01-01,26023
2008-02-01,26072
2008-03-01,26257
2008-04-01,26273
2008-05-01,26638
2008-06-01,27014
2008-07-01,27162
2008-08-01,26654
2008-09-01,26942
2008-10-01,27081
2008-11-01,27218
2008-12-01,27047
2009-01-01,28133
2009-02-01,28368
2009-03-01,28683
2009-04-01,28636
2009-05-01,28886
2009-06-01,28800
2009-07-01,28640
2009-08-01,28977
2009-09-01,28899
2009-10-01,28754
2009-11-01,28570
2009-12-01,28337
2010-01-01,20924
2010-02-01,20875
2010-03-01,20821
2010-04-01,21061
2010-05-01,21160
2010-06-01,21583
2010-07-01,21200
2010-08-01,20948
2010-09-01,21337
2010-10-01,21331
2010-11-01,21372
2010-12-01,21259
2011-01-01,21576
2011-02-01,21484
2011-03-01,21635
2011-04-01,21276
2011-05-01,21454
2011-06-01,21883
2011-07-01,21386
2011-08-01,21364
2011-09-01,21680
2011-10-01,21705
2011-11-01,21791
2011-12-01,21721
2012-01-01,21714
2012-02-01,21701
2012-03-01,21720
2012-04-01,21619
2012-05-01,21891
2012-06-01,22240
2012-07-01,21662
2012-08-01,21530
2012-09-01,21950
2012-10-01,21957
2012-11-01,21995
2012-12-01,21970
2013-01-01,22128
2013-02-01,21899
2013-03-01,22082
2013-04-01,21933
2013-05-01,22190
2013-06-01,22371
2013-07-01,21833
2013-08-01,21711
2013-09-01,22044
2013-10-01,21948
2013-11-01,22059
2013-12-01,21845
2014-01-01,22170
2014-02-01,21925
2014-03-01,21996
2014-04-01,21690
2014-05-01,21867
2014-06-01,22221
2014-07-01,21750
2014-08-01,21629
2014-09-01,22052
2014-10-01,22307
2014-11-01,22335
2014-12-01,22189
2015-01-01,22430
2015-02-01,22439
2015-03-01,22567
2015-04-01,22604
2015-05-01,22821
2015-06-01,23030
2015-07-01,22432
2015-08-01,22216
2015-09-01,22543
2015-10-01,22505
2015-11-01,22486
2015-12-01,22407
2016-01-01,22591
2016-02-01,22524
2016-03-01,22623
2016-04-01,22770
2016-05-01,22834
2016-06-01,23163
2016-07-01,22683
2016-08-01,22397
2016-09-01,22792
2016-10-01,22780
2016-11-01,22749
2016-12-01,22365
2017-01-01,22516
2017-02-01,22426
2017-03-01,22443
2017-04-01,22351
2017-05-01,22532
2017-06-01,22805
2017-07-01,22214
2017-08-01,21764
2017-09-01,22342
2017-10-01,22363
2017-11-01,22397
2017-12-01,22279
2018-01-01,22081
2018-02-01,22193
2018-03-01,22119
2018-04-01,21803
2018-05-01,22103
2018-06-01,22392
2018-07-01,21944
2018-08-01,21435
2018-09-01,22137
2018-10-01,22469
2018-11-01,21984
2018-12-01,21657
2019-01-01,21337
2019-02-01,21423
2019-03-01,21443
2019-04-01,21636
2019-05-01,21632
2019-06-01,21895
2019-07-01,21150
2019-08-01,20888
2019-09-01,21430
2019-10-01,21405
2019-11-01,21435
2019-12-01,21122
2020-01-01,21212
2020-02-01,21058
2020-03-01,20887
2020-04-01,20871
2020-05-01,21269
2020-06-01,21235
2020-07-01,21096
2020-08-01,21057
2020-09-01,21671
2020-10-01,21757
2020-11-01,21869
2020-12-01,21604
2021-01-01,21565
2021-02-01,21577
2021-03-01,21484
2021-04-01,21362
2021-05-01,21403
2021-06-01,21929
2021-07-01,21353
2021-08-01,21225
2021-09-01,21376
2021-10-01,21450
2021-11-01,21467
2021-12-01,21430
2022-01-01,21671
2022-02-01,21603
2022-03-01,21846
2022-04-01,21372
2022-05-01,21699
2022-06-01,21897
2022-07-01,21280
2022-08-01,21074
2022-09-01,21455
2022-10-01,21521
2022-11-01,21461
2022-12-01,21348
2023-01-01,21269
2023-02-01,21282
2023-03-01,21877
2023-04-01,21705
2023-05-01,21962
2023-06-01,22611
2023-07-01,22126
2023-08-01,22136
2023-09-01,22526
2023-10-01,22598
