"Date","LASRD920000000000005"
1993-11-01,30057707
1993-12-01,30131543
1994-01-01,30208618
1994-02-01,30279093
1994-03-01,30332412
1994-04-01,30371777
1994-05-01,30410862
1994-06-01,30464036
1994-07-01,30533066
1994-08-01,30619586
1994-09-01,30717625
1994-10-01,30819409
1994-11-01,30924742
1994-12-01,31008822
1995-01-01,31058988
1995-02-01,31081296
1995-03-01,31087516
1995-04-01,31087264
1995-05-01,31090182
1995-06-01,31115798
1995-07-01,31144858
1995-08-01,31179042
1995-09-01,31208047
1995-10-01,31228018
1995-11-01,31241326
1995-12-01,31254781
1996-01-01,31277778
1996-02-01,31315428
1996-03-01,31367885
1996-04-01,31428792
1996-05-01,31489136
1996-06-01,31543309
1996-07-01,31589993
1996-08-01,31628432
1996-09-01,31653991
1996-10-01,31664239
1996-11-01,31665977
1996-12-01,31671420
1997-01-01,31689674
1997-02-01,31724726
1997-03-01,31778880
1997-04-01,31848136
1997-05-01,31918496
1997-06-01,31979667
1997-07-01,32029890
1997-08-01,32070240
1997-09-01,32103826
1997-10-01,32131128
1997-11-01,32150627
1997-12-01,32165411
1998-01-01,32176643
1998-02-01,32184741
1998-03-01,32187767
1998-04-01,32189129
1998-05-01,32194370
1998-06-01,32204036
1998-07-01,32217766
1998-08-01,32240595
1998-09-01,32273848
1998-10-01,32315337
1998-11-01,32356806
1998-12-01,32389131
1999-01-01,32410568
1999-02-01,32425040
1999-03-01,32440078
1999-04-01,32460437
1999-05-01,32486901
1999-06-01,32520421
1999-07-01,32557920
1999-08-01,32597740
1999-09-01,32641578
1999-10-01,32687999
1999-11-01,32738273
1999-12-01,32787911
2000-01-01,32828102
2000-02-01,32850130
2000-03-01,32848768
2000-04-01,32826148
2000-05-01,32790426
2000-06-01,32749318
2000-07-01,32712639
2000-08-01,32690494
2000-09-01,32687052
2000-10-01,32703981
2000-11-01,32733493
2000-12-01,32763435
2001-01-01,32782897
2001-02-01,32785767
2001-03-01,32769213
2001-04-01,32732823
2001-05-01,32684789
2001-06-01,32631259
2001-07-01,32576821
2001-08-01,32515619
2001-09-01,32446719
2001-10-01,32375458
2001-11-01,32304709
2001-12-01,32241972
2002-01-01,32192085
2002-02-01,32153145
2002-03-01,32122529
2002-04-01,32105220
2002-05-01,32102556
2002-06-01,32112581
2002-07-01,32126118
2002-08-01,32137746
2002-09-01,32143144
2002-10-01,32136272
2002-11-01,32122687
2002-12-01,32106911
2003-01-01,32095699
2003-02-01,32095828
2003-03-01,32104171
2003-04-01,32106648
2003-05-01,32092706
2003-06-01,32069363
2003-07-01,32048460
2003-08-01,32037773
2003-09-01,32042539
2003-10-01,32062968
2003-11-01,32092855
2003-12-01,32123017
2004-01-01,32143810
2004-02-01,32152736
2004-03-01,32157847
2004-04-01,32166172
2004-05-01,32180076
2004-06-01,32196872
2004-07-01,32214493
2004-08-01,32230342
2004-09-01,32239493
2004-10-01,32239711
2004-11-01,32235521
2004-12-01,32237538
2005-01-01,32252596
2005-02-01,32279457
2005-03-01,32317168
2005-04-01,32365970
2005-05-01,32423022
2005-06-01,32478588
2005-07-01,32522143
2005-08-01,32551471
2005-09-01,32571992
2005-10-01,32592295
2005-11-01,32616555
2005-12-01,32645223
2006-01-01,32683343
2006-02-01,32730595
2006-03-01,32779123
2006-04-01,32824769
2006-05-01,32865125
2006-06-01,32901751
2006-07-01,32941127
2006-08-01,32986080
2006-09-01,33031231
2006-10-01,33072927
2006-11-01,33109101
2006-12-01,33122952
2007-01-01,33114968
2007-02-01,33093273
2007-03-01,33066539
2007-04-01,33042023
2007-05-01,33022378
2007-06-01,33009525
2007-07-01,33003688
2007-08-01,33004095
2007-09-01,33013406
2007-10-01,33027534
2007-11-01,33044715
2007-12-01,33063386
2008-01-01,33071774
2008-02-01,33060735
2008-03-01,33028302
2008-04-01,32976840
2008-05-01,32913268
2008-06-01,32845927
2008-07-01,32776834
2008-08-01,32701547
2008-09-01,32609575
2008-10-01,32491093
2008-11-01,32340670
2008-12-01,32163111
2009-01-01,31972956
2009-02-01,31790665
2009-03-01,31637968
2009-04-01,31523678
2009-05-01,31436816
2009-06-01,31363001
2009-07-01,31287661
2009-08-01,31204404
2009-09-01,31119763
2009-10-01,31042437
2009-11-01,30989203
2009-12-01,30975807
2010-01-01,31005415
2010-02-01,31062729
2010-03-01,31128330
2010-04-01,31189200
2010-05-01,31237476
2010-06-01,31264719
2010-07-01,31271745
2010-08-01,31268918
2010-09-01,31263865
2010-10-01,31268246
2010-11-01,31284059
2010-12-01,31305291
2011-01-01,31328592
2011-02-01,31346678
2011-03-01,31352507
2011-04-01,31346005
2011-05-01,31335654
2011-06-01,31333472
2011-07-01,31349672
2011-08-01,31385316
2011-09-01,31436303
2011-10-01,31494485
2011-11-01,31547568
2011-12-01,31586650
2012-01-01,31609926
2012-02-01,31621820
2012-03-01,31621071
2012-04-01,31608495
2012-05-01,31598427
2012-06-01,31602957
2012-07-01,31624923
2012-08-01,31659329
2012-09-01,31696864
2012-10-01,31724213
2012-11-01,31734057
2012-12-01,31728460
2013-01-01,31714203
2013-02-01,31704507
2013-03-01,31713734
2013-04-01,31748205
2013-05-01,31791764
2013-06-01,31828033
2013-07-01,31851778
2013-08-01,31865734
2013-09-01,31877927
2013-10-01,31898148
2013-11-01,31935049
2013-12-01,31987296
2014-01-01,32049647
2014-02-01,32115617
2014-03-01,32177836
2014-04-01,32229627
2014-05-01,32277660
2014-06-01,32333023
2014-07-01,32394481
2014-08-01,32459453
2014-09-01,32522589
2014-10-01,32575496
2014-11-01,32610305
2014-12-01,32629549
2015-01-01,32640800
2015-02-01,32650680
2015-03-01,32669392
2015-04-01,32699896
2015-05-01,32736082
2015-06-01,32768725
2015-07-01,32796586
2015-08-01,32822830
2015-09-01,32854764
2015-10-01,32902024
2015-11-01,32966087
2015-12-01,33037808
2016-01-01,33102879
2016-02-01,33150109
2016-03-01,33175529
2016-04-01,33183373
2016-05-01,33181519
2016-06-01,33175394
2016-07-01,33168585
2016-08-01,33161388
2016-09-01,33152235
2016-10-01,33142215
2016-11-01,33139946
2016-12-01,33153059
2017-01-01,33347097
2017-02-01,33399808
2017-03-01,33455778
2017-04-01,33506760
2017-05-01,33548443
2017-06-01,33576653
2017-07-01,33591325
2017-08-01,33593004
2017-09-01,33584659
2017-10-01,33575618
2017-11-01,33570840
2017-12-01,33580952
2018-01-01,33615018
2018-02-01,33666702
2018-03-01,33730817
2018-04-01,33786503
2018-05-01,33817680
2018-06-01,33823398
2018-07-01,33809830
2018-08-01,33792430
2018-09-01,33783714
2018-10-01,33789437
2018-11-01,33810292
2018-12-01,33841540
2019-01-01,33874631
2019-02-01,33906789
2019-03-01,33937962
2019-04-01,33970403
2019-05-01,33999498
2019-06-01,34021752
2019-07-01,34036302
2019-08-01,34045187
2019-09-01,34061709
2019-10-01,34084029
2019-11-01,34102784
2019-12-01,34093629
2020-01-01,34041216
2020-02-01,33945430
2020-03-01,33581239
2020-04-01,28614959
2020-05-01,30023817
2020-06-01,31041524
2020-07-01,31578564
2020-08-01,31946762
2020-09-01,32247185
2020-10-01,32419102
2020-11-01,32513742
2020-12-01,32479397
2021-01-01,32582254
2021-02-01,32623750
2021-03-01,32690946
2021-04-01,32772077
2021-05-01,32848491
2021-06-01,32905129
2021-07-01,32943384
2021-08-01,32988658
2021-09-01,33048244
2021-10-01,33136632
2021-11-01,33244749
2021-12-01,33369205
2022-01-01,33499322
2022-02-01,33616768
2022-03-01,33703599
2022-04-01,33757892
2022-05-01,33772239
2022-06-01,33749530
2022-07-01,33690764
2022-08-01,33621908
2022-09-01,33566784
2022-10-01,33542106
2022-11-01,33554586
2022-12-01,33575145
2023-01-01,33602199
2023-02-01,33657813
2023-03-01,33754643
2023-04-01,33885455
2023-05-01,34003729
2023-06-01,34070896
2023-07-01,34098846
2023-08-01,34095536
2023-09-01,34074242
2023-10-01,34024242
