"Date","CADELN5LFN"
2004-06-01,10866
2004-07-01,10767
2004-08-01,10636
2004-09-01,10926
2004-10-01,10866
2004-11-01,10622
2004-12-01,10565
2005-01-01,10603
2005-02-01,10618
2005-03-01,10648
2005-04-01,10604
2005-05-01,10618
2005-06-01,10908
2005-07-01,10955
2005-08-01,10923
2005-09-01,11009
2005-10-01,10860
2005-11-01,10640
2005-12-01,10460
2006-01-01,10715
2006-02-01,10580
2006-03-01,10633
2006-04-01,10457
2006-05-01,10572
2006-06-01,10842
2006-07-01,10984
2006-08-01,10826
2006-09-01,11124
2006-10-01,11098
2006-11-01,10949
2006-12-01,10936
2007-01-01,11011
2007-02-01,11055
2007-03-01,11130
2007-04-01,10796
2007-05-01,10940
2007-06-01,11250
2007-07-01,11099
2007-08-01,11003
2007-09-01,11264
2007-10-01,11016
2007-11-01,10975
2007-12-01,10949
2008-01-01,11223
2008-02-01,11188
2008-03-01,11269
2008-04-01,11173
2008-05-01,11319
2008-06-01,11524
2008-07-01,11276
2008-08-01,11379
2008-09-01,11487
2008-10-01,11623
2008-11-01,11485
2008-12-01,11465
2009-01-01,11620
2009-02-01,11701
2009-03-01,11654
2009-04-01,11688
2009-05-01,11715
2009-06-01,11880
2009-07-01,11659
2009-08-01,11747
2009-09-01,12143
2009-10-01,11784
2009-11-01,11739
2009-12-01,11596
2010-01-01,10929
2010-02-01,11063
2010-03-01,11060
2010-04-01,11062
2010-05-01,11005
2010-06-01,11196
2010-07-01,10781
2010-08-01,10758
2010-09-01,11023
2010-10-01,10868
2010-11-01,10834
2010-12-01,10746
2011-01-01,10744
2011-02-01,10783
2011-03-01,10833
2011-04-01,10765
2011-05-01,10765
2011-06-01,10916
2011-07-01,10887
2011-08-01,10912
2011-09-01,11181
2011-10-01,11060
2011-11-01,10874
2011-12-01,10854
2012-01-01,10652
2012-02-01,10723
2012-03-01,10754
2012-04-01,10363
2012-05-01,10472
2012-06-01,10544
2012-07-01,10321
2012-08-01,10334
2012-09-01,10645
2012-10-01,10408
2012-11-01,10302
2012-12-01,10248
2013-01-01,10456
2013-02-01,10359
2013-03-01,10334
2013-04-01,10278
2013-05-01,10376
2013-06-01,10507
2013-07-01,10235
2013-08-01,10129
2013-09-01,10473
2013-10-01,10236
2013-11-01,10116
2013-12-01,10065
2014-01-01,9992
2014-02-01,9955
2014-03-01,10012
2014-04-01,9914
2014-05-01,9931
2014-06-01,10087
2014-07-01,9768
2014-08-01,9763
2014-09-01,9970
2014-10-01,9991
2014-11-01,9873
2014-12-01,9719
2015-01-01,9815
2015-02-01,9756
2015-03-01,9821
2015-04-01,9907
2015-05-01,9985
2015-06-01,10089
2015-07-01,9737
2015-08-01,9839
2015-09-01,10009
2015-10-01,9844
2015-11-01,9782
2015-12-01,9677
2016-01-01,9595
2016-02-01,9627
2016-03-01,9782
2016-04-01,9725
2016-05-01,9773
2016-06-01,9971
2016-07-01,9791
2016-08-01,9784
2016-09-01,9955
2016-10-01,9852
2016-11-01,9646
2016-12-01,9566
2017-01-01,9653
2017-02-01,9706
2017-03-01,9647
2017-04-01,9644
2017-05-01,9650
2017-06-01,9735
2017-07-01,9720
2017-08-01,9871
2017-09-01,9881
2017-10-01,9777
2017-11-01,9558
2017-12-01,9508
2018-01-01,9662
2018-02-01,9762
2018-03-01,9792
2018-04-01,9624
2018-05-01,9719
2018-06-01,9827
2018-07-01,9676
2018-08-01,9813
2018-09-01,9846
2018-10-01,9753
2018-11-01,9554
2018-12-01,9503
2019-01-01,9657
2019-02-01,9636
2019-03-01,9652
2019-04-01,9523
2019-05-01,9568
2019-06-01,9688
2019-07-01,9621
2019-08-01,9749
2019-09-01,9777
2019-10-01,9792
2019-11-01,9504
2019-12-01,9463
2020-01-01,9669
2020-02-01,9644
2020-03-01,9776
2020-04-01,9338
2020-05-01,9077
2020-06-01,9511
2020-07-01,9342
2020-08-01,9563
2020-09-01,9516
2020-10-01,9459
2020-11-01,9259
2020-12-01,9216
2021-01-01,9329
2021-02-01,9258
2021-03-01,9309
2021-04-01,9260
2021-05-01,9287
2021-06-01,9410
2021-07-01,9385
2021-08-01,9521
2021-09-01,9520
2021-10-01,9433
2021-11-01,9251
2021-12-01,9247
2022-01-01,9337
2022-02-01,9356
2022-03-01,9422
2022-04-01,9189
2022-05-01,9249
2022-06-01,9345
2022-07-01,9319
2022-08-01,9551
2022-09-01,9485
2022-10-01,9501
2022-11-01,9352
2022-12-01,9258
2023-01-01,9199
2023-02-01,9221
2023-03-01,9388
2023-04-01,9037
2023-05-01,9201
2023-06-01,9348
2023-07-01,9225
2023-08-01,9483
2023-09-01,9568
2023-10-01,9469
