"Date","TOTLL65O"
2014-09-01,8390
2014-10-01,8486
2014-11-01,8457
2014-12-01,8478
2015-01-01,8610
2015-02-01,8663
2015-03-01,8801
2015-04-01,8801
2015-05-01,8855
2015-06-01,8744
2015-07-01,8726
2015-08-01,8751
2015-09-01,8858
2015-10-01,9022
2015-11-01,8934
2015-12-01,8850
2016-01-01,8916
2016-02-01,9103
2016-03-01,9264
2016-04-01,9341
2016-05-01,9270
2016-06-01,9286
2016-07-01,9380
2016-08-01,9340
2016-09-01,9411
2016-10-01,9403
2016-11-01,9359
2016-12-01,9185
2017-01-01,9300
2017-02-01,9588
2017-03-01,9565
2017-04-01,9687
2017-05-01,9677
2017-06-01,9481
2017-07-01,9455
2017-08-01,9535
2017-09-01,9771
2017-10-01,9619
2017-11-01,9672
2017-12-01,9577
2018-01-01,9506
2018-02-01,9727
2018-03-01,9916
2018-04-01,9961
2018-05-01,10108
2018-06-01,9980
2018-07-01,10031
2018-08-01,10066
2018-09-01,10285
2018-10-01,10227
2018-11-01,10350
2018-12-01,10233
2019-01-01,10326
2019-02-01,10595
2019-03-01,10454
2019-04-01,10367
2019-05-01,10530
2019-06-01,10356
2019-07-01,10769
2019-08-01,10743
2019-09-01,10804
2019-10-01,10919
2019-11-01,11031
2019-12-01,11069
2020-01-01,10948
2020-02-01,11206
2020-03-01,10655
2020-04-01,10304
2020-05-01,10095
2020-06-01,10289
2020-07-01,10509
2020-08-01,10571
2020-09-01,10727
2020-10-01,10645
2020-11-01,10800
2020-12-01,10604
2021-01-01,10407
2021-02-01,10262
2021-03-01,10447
2021-04-01,10502
2021-05-01,10467
2021-06-01,10420
2021-07-01,10303
2021-08-01,10657
2021-09-01,10840
2021-10-01,10854
2021-11-01,10979
2021-12-01,11058
2022-01-01,10649
2022-02-01,10829
2022-03-01,10736
2022-04-01,10643
2022-05-01,10839
2022-06-01,10667
2022-07-01,10719
2022-08-01,10860
2022-09-01,11250
2022-10-01,11356
2022-11-01,11085
2022-12-01,11136
2023-01-01,10989
2023-02-01,10974
2023-03-01,11085
2023-04-01,11091
2023-05-01,11079
2023-06-01,10987
2023-07-01,11235
2023-08-01,11263
2023-09-01,11419
2023-10-01,11334
2023-11-01,11532
