"Date","MOMILFN"
2008-12-01,15086
2009-01-01,14938
2009-02-01,14961
2009-03-01,15058
2009-04-01,15064
2009-05-01,15050
2009-06-01,15393
2009-07-01,15553
2009-08-01,15058
2009-09-01,14696
2009-10-01,14722
2009-11-01,14783
2009-12-01,14785
2010-01-01,14596
2010-02-01,14545
2010-03-01,14577
2010-04-01,14797
2010-05-01,14745
2010-06-01,14970
2010-07-01,14883
2010-08-01,14636
2010-09-01,14687
2010-10-01,14668
2010-11-01,14708
2010-12-01,14670
2011-01-01,14307
2011-02-01,14244
2011-03-01,14377
2011-04-01,14591
2011-05-01,14475
2011-06-01,14725
2011-07-01,14680
2011-08-01,14383
2011-09-01,14411
2011-10-01,14439
2011-11-01,14495
2011-12-01,14547
2012-01-01,14218
2012-02-01,14209
2012-03-01,14296
2012-04-01,14418
2012-05-01,14430
2012-06-01,14614
2012-07-01,14535
2012-08-01,14178
2012-09-01,14269
2012-10-01,14413
2012-11-01,14568
2012-12-01,14519
2013-01-01,14430
2013-02-01,14415
2013-03-01,14530
2013-04-01,14785
2013-05-01,14831
2013-06-01,14876
2013-07-01,14891
2013-08-01,14493
2013-09-01,14565
2013-10-01,14324
2013-11-01,14542
2013-12-01,14414
2014-01-01,14289
2014-02-01,14253
2014-03-01,14357
2014-04-01,14443
2014-05-01,14588
2014-06-01,14850
2014-07-01,14913
2014-08-01,14640
2014-09-01,14585
2014-10-01,14603
2014-11-01,14760
2014-12-01,14631
2015-01-01,14568
2015-02-01,14469
2015-03-01,14512
2015-04-01,14628
2015-05-01,14772
2015-06-01,14926
2015-07-01,14949
2015-08-01,14467
2015-09-01,14532
2015-10-01,14622
2015-11-01,14786
2015-12-01,14679
2016-01-01,14359
2016-02-01,14275
2016-03-01,14354
2016-04-01,14618
2016-05-01,14576
2016-06-01,14905
2016-07-01,14694
2016-08-01,14528
2016-09-01,14490
2016-10-01,14547
2016-11-01,14747
2016-12-01,14591
2017-01-01,14503
2017-02-01,14530
2017-03-01,14517
2017-04-01,14715
2017-05-01,14673
2017-06-01,14765
2017-07-01,14651
2017-08-01,14284
2017-09-01,14365
2017-10-01,14356
2017-11-01,14526
2017-12-01,14436
2018-01-01,14306
2018-02-01,14341
2018-03-01,14487
2018-04-01,14505
2018-05-01,14467
2018-06-01,14630
2018-07-01,14639
2018-08-01,14222
2018-09-01,14244
2018-10-01,14369
2018-11-01,14559
2018-12-01,14368
2019-01-01,14332
2019-02-01,14317
2019-03-01,14394
2019-04-01,14423
2019-05-01,14392
2019-06-01,14520
2019-07-01,14399
2019-08-01,14181
2019-09-01,14411
2019-10-01,14525
2019-11-01,14493
2019-12-01,14486
2020-01-01,14183
2020-02-01,14232
2020-03-01,14201
2020-04-01,13731
2020-05-01,13420
2020-06-01,14361
2020-07-01,14625
2020-08-01,14461
2020-09-01,14369
2020-10-01,14374
2020-11-01,14388
2020-12-01,14378
2021-01-01,14219
2021-02-01,14127
2021-03-01,14186
2021-04-01,14282
2021-05-01,14270
2021-06-01,14387
2021-07-01,14085
2021-08-01,13744
2021-09-01,13953
2021-10-01,13862
2021-11-01,13868
2021-12-01,13919
2022-01-01,13692
2022-02-01,13617
2022-03-01,13692
2022-04-01,13775
2022-05-01,13818
2022-06-01,14025
2022-07-01,13765
2022-08-01,13578
2022-09-01,13722
2022-10-01,13591
2022-11-01,13704
2022-12-01,13789
2023-01-01,13473
2023-02-01,13532
2023-03-01,13623
2023-04-01,13878
2023-05-01,13811
2023-06-01,14152
2023-07-01,13871
2023-08-01,13613
2023-09-01,13930
2023-10-01,13748
