"Date","MDBALT5LFN"
2003-03-01,274930
2003-04-01,274414
2003-05-01,274880
2003-06-01,278854
2003-07-01,278849
2003-08-01,277829
2003-09-01,275988
2003-10-01,277186
2003-11-01,277564
2003-12-01,276164
2004-01-01,273566
2004-02-01,271396
2004-03-01,272317
2004-04-01,270478
2004-05-01,271286
2004-06-01,275515
2004-07-01,277344
2004-08-01,275036
2004-09-01,272548
2004-10-01,274795
2004-11-01,275213
2004-12-01,274357
2005-01-01,269719
2005-02-01,269335
2005-03-01,269848
2005-04-01,270318
2005-05-01,272365
2005-06-01,276123
2005-07-01,278512
2005-08-01,276052
2005-09-01,274719
2005-10-01,276445
2005-11-01,275608
2005-12-01,275059
2006-01-01,271857
2006-02-01,272087
2006-03-01,273252
2006-04-01,273776
2006-05-01,275108
2006-06-01,278965
2006-07-01,281580
2006-08-01,279093
2006-09-01,276446
2006-10-01,278042
2006-11-01,277368
2006-12-01,277102
2007-01-01,277401
2007-02-01,274711
2007-03-01,275715
2007-04-01,274474
2007-05-01,274995
2007-06-01,279373
2007-07-01,282105
2007-08-01,278367
2007-09-01,277277
2007-10-01,278381
2007-11-01,278662
2007-12-01,277095
2008-01-01,277620
2008-02-01,275652
2008-03-01,277738
2008-04-01,277808
2008-05-01,279816
2008-06-01,283554
2008-07-01,286375
2008-08-01,284080
2008-09-01,281406
2008-10-01,284484
2008-11-01,284200
2008-12-01,284088
2009-01-01,281927
2009-02-01,280919
2009-03-01,282277
2009-04-01,282266
2009-05-01,283217
2009-06-01,287191
2009-07-01,289116
2009-08-01,286051
2009-09-01,282476
2009-10-01,283316
2009-11-01,283410
2009-12-01,281267
2010-01-01,291057
2010-02-01,290587
2010-03-01,294943
2010-04-01,295204
2010-05-01,294975
2010-06-01,298599
2010-07-01,300819
2010-08-01,300500
2010-09-01,296549
2010-10-01,297050
2010-11-01,296913
2010-12-01,295768
2011-01-01,293835
2011-02-01,292875
2011-03-01,294529
2011-04-01,293850
2011-05-01,295023
2011-06-01,297792
2011-07-01,299128
2011-08-01,297285
2011-09-01,294770
2011-10-01,296641
2011-11-01,295655
2011-12-01,295441
2012-01-01,293923
2012-02-01,294128
2012-03-01,295081
2012-04-01,293865
2012-05-01,295873
2012-06-01,298999
2012-07-01,301525
2012-08-01,298771
2012-09-01,297154
2012-10-01,300100
2012-11-01,298094
2012-12-01,298318
2013-01-01,297588
2013-02-01,295963
2013-03-01,296308
2013-04-01,295440
2013-05-01,296865
2013-06-01,300007
2013-07-01,300704
2013-08-01,297043
2013-09-01,295016
2013-10-01,295195
2013-11-01,294322
2013-12-01,292608
2014-01-01,291568
2014-02-01,291561
2014-03-01,292948
2014-04-01,291923
2014-05-01,293517
2014-06-01,295935
2014-07-01,297953
2014-08-01,295541
2014-09-01,292136
2014-10-01,294462
2014-11-01,294178
2014-12-01,293070
2015-01-01,292258
2015-02-01,291707
2015-03-01,292351
2015-04-01,291980
2015-05-01,294390
2015-06-01,295598
2015-07-01,297720
2015-08-01,295358
2015-09-01,290353
2015-10-01,293109
2015-11-01,292818
2015-12-01,292650
2016-01-01,287432
2016-02-01,287097
2016-03-01,288168
2016-04-01,286324
2016-05-01,287582
2016-06-01,290593
2016-07-01,292347
2016-08-01,291478
2016-09-01,288228
2016-10-01,290285
2016-11-01,290041
2016-12-01,289277
2017-01-01,291130
2017-02-01,290163
2017-03-01,291860
2017-04-01,292588
2017-05-01,292902
2017-06-01,297161
2017-07-01,300202
2017-08-01,298284
2017-09-01,295692
2017-10-01,294545
2017-11-01,294199
2017-12-01,293461
2018-01-01,289620
2018-02-01,289997
2018-03-01,290787
2018-04-01,290166
2018-05-01,291685
2018-06-01,296723
2018-07-01,297695
2018-08-01,294486
2018-09-01,290655
2018-10-01,292401
2018-11-01,292335
2018-12-01,292854
2019-01-01,288857
2019-02-01,288753
2019-03-01,290137
2019-04-01,289154
2019-05-01,291269
2019-06-01,296948
2019-07-01,298215
2019-08-01,297084
2019-09-01,293579
2019-10-01,295852
2019-11-01,295110
2019-12-01,294583
2020-01-01,289788
2020-02-01,290027
2020-03-01,292463
2020-04-01,277532
2020-05-01,277693
2020-06-01,282957
2020-07-01,283442
2020-08-01,282343
2020-09-01,281422
2020-10-01,281881
2020-11-01,280140
2020-12-01,279404
2021-01-01,278126
2021-02-01,276521
2021-03-01,277546
2021-04-01,276120
2021-05-01,275483
2021-06-01,280493
2021-07-01,280402
2021-08-01,277426
2021-09-01,274594
2021-10-01,274839
2021-11-01,275196
2021-12-01,273952
2022-01-01,275177
2022-02-01,274485
2022-03-01,274230
2022-04-01,271753
2022-05-01,271157
2022-06-01,275607
2022-07-01,276610
2022-08-01,275841
2022-09-01,272135
2022-10-01,273227
2022-11-01,272506
2022-12-01,272426
2023-01-01,272011
2023-02-01,272006
2023-03-01,275721
2023-04-01,273165
2023-05-01,273861
2023-06-01,275078
2023-07-01,277964
2023-08-01,276718
2023-09-01,273544
2023-10-01,276073
