"Date","CTNEWL1LFN"
2003-03-01,140349
2003-04-01,140535
2003-05-01,142426
2003-06-01,145508
2003-07-01,147144
2003-08-01,145723
2003-09-01,142231
2003-10-01,141825
2003-11-01,141451
2003-12-01,140471
2004-01-01,140432
2004-02-01,139620
2004-03-01,139291
2004-04-01,139449
2004-05-01,141630
2004-06-01,143982
2004-07-01,146840
2004-08-01,145025
2004-09-01,141741
2004-10-01,140672
2004-11-01,141045
2004-12-01,140624
2005-01-01,140387
2005-02-01,139816
2005-03-01,141030
2005-04-01,141924
2005-05-01,143802
2005-06-01,145486
2005-07-01,148742
2005-08-01,148433
2005-09-01,144840
2005-10-01,144516
2005-11-01,144124
2005-12-01,143992
2006-01-01,143739
2006-02-01,142968
2006-03-01,142968
2006-04-01,144177
2006-05-01,145612
2006-06-01,147225
2006-07-01,150279
2006-08-01,149733
2006-09-01,145841
2006-10-01,145524
2006-11-01,145484
2006-12-01,145537
2007-01-01,145840
2007-02-01,144649
2007-03-01,145766
2007-04-01,144554
2007-05-01,146974
2007-06-01,149226
2007-07-01,151989
2007-08-01,151175
2007-09-01,148494
2007-10-01,147769
2007-11-01,147530
2007-12-01,146536
2008-01-01,147029
2008-02-01,145615
2008-03-01,145615
2008-04-01,147228
2008-05-01,150685
2008-06-01,152702
2008-07-01,155262
2008-08-01,153881
2008-09-01,150959
2008-10-01,151211
2008-11-01,150121
2008-12-01,148885
2009-01-01,148785
2009-02-01,148113
2009-03-01,148761
2009-04-01,148519
2009-05-01,150970
2009-06-01,153463
2009-07-01,156298
2009-08-01,154187
2009-09-01,150821
2009-10-01,151001
2009-11-01,149997
2009-12-01,147606
2010-01-01,140936
2010-02-01,140546
2010-03-01,141305
2010-04-01,142445
2010-05-01,144409
2010-06-01,146011
2010-07-01,148018
2010-08-01,147516
2010-09-01,145323
2010-10-01,144162
2010-11-01,143498
2010-12-01,141814
2011-01-01,142118
2011-02-01,141228
2011-03-01,141625
2011-04-01,141737
2011-05-01,143819
2011-06-01,145587
2011-07-01,146705
2011-08-01,145319
2011-09-01,143423
2011-10-01,142673
2011-11-01,142090
2011-12-01,140669
2012-01-01,140211
2012-02-01,139642
2012-03-01,139034
2012-04-01,139364
2012-05-01,141618
2012-06-01,142329
2012-07-01,142752
2012-08-01,140487
2012-09-01,138705
2012-10-01,138455
2012-11-01,136729
2012-12-01,135943
2013-01-01,136654
2013-02-01,135161
2013-03-01,135297
2013-04-01,135190
2013-05-01,138132
2013-06-01,139900
2013-07-01,141756
2013-08-01,139716
2013-09-01,137749
2013-10-01,135973
2013-11-01,135284
2013-12-01,134699
2014-01-01,135081
2014-02-01,134614
2014-03-01,135354
2014-04-01,134652
2014-05-01,137702
2014-06-01,139577
2014-07-01,141307
2014-08-01,139931
2014-09-01,137035
2014-10-01,136550
2014-11-01,135806
2014-12-01,134368
2015-01-01,135446
2015-02-01,134736
2015-03-01,135103
2015-04-01,135043
2015-05-01,137622
2015-06-01,139155
2015-07-01,140083
2015-08-01,138787
2015-09-01,136259
2015-10-01,135568
2015-11-01,134856
2015-12-01,133887
2016-01-01,134173
2016-02-01,133601
2016-03-01,134580
2016-04-01,134060
2016-05-01,135977
2016-06-01,138269
2016-07-01,140640
2016-08-01,138756
2016-09-01,136472
2016-10-01,136312
2016-11-01,136231
2016-12-01,135048
2017-01-01,138015
2017-02-01,137355
2017-03-01,138536
2017-04-01,138368
2017-05-01,139755
2017-06-01,141823
2017-07-01,143930
2017-08-01,141618
2017-09-01,139465
2017-10-01,138804
2017-11-01,138309
2017-12-01,136854
2018-01-01,136317
2018-02-01,136578
2018-03-01,137185
2018-04-01,136365
2018-05-01,138565
2018-06-01,141047
2018-07-01,143594
2018-08-01,140668
2018-09-01,138786
2018-10-01,138420
2018-11-01,138389
2018-12-01,136920
2019-01-01,137819
2019-02-01,137214
2019-03-01,137861
2019-04-01,137012
2019-05-01,138829
2019-06-01,140870
2019-07-01,143349
2019-08-01,141446
2019-09-01,139187
2019-10-01,138534
2019-11-01,138315
2019-12-01,137157
2020-01-01,137006
2020-02-01,136517
2020-03-01,136080
2020-04-01,123643
2020-05-01,133199
2020-06-01,137626
2020-07-01,139377
2020-08-01,134814
2020-09-01,131271
2020-10-01,129581
2020-11-01,128492
2020-12-01,126164
2021-01-01,125818
2021-02-01,124726
2021-03-01,125684
2021-04-01,124776
2021-05-01,126956
2021-06-01,130193
2021-07-01,132219
2021-08-01,131223
2021-09-01,131887
2021-10-01,132598
2021-11-01,133617
2021-12-01,133274
2022-01-01,135352
2022-02-01,134397
2022-03-01,135415
2022-04-01,133852
2022-05-01,135979
2022-06-01,136559
2022-07-01,137629
2022-08-01,136346
2022-09-01,134952
2022-10-01,133868
2022-11-01,134232
2022-12-01,132291
2023-01-01,132620
2023-02-01,131511
2023-03-01,131358
2023-04-01,129891
2023-05-01,132023
2023-06-01,135306
2023-07-01,136772
2023-08-01,134954
2023-09-01,134157
2023-10-01,133640
