"Date","OHCUYA5LFN"
2008-01-01,634800
2008-02-01,633187
2008-03-01,633238
2008-04-01,642249
2008-05-01,642717
2008-06-01,652176
2008-07-01,659430
2008-08-01,645733
2008-09-01,640813
2008-10-01,639448
2008-11-01,633985
2008-12-01,625347
2009-01-01,623774
2009-02-01,623560
2009-03-01,622050
2009-04-01,627706
2009-05-01,625700
2009-06-01,639708
2009-07-01,645817
2009-08-01,635022
2009-09-01,627462
2009-10-01,627228
2009-11-01,628120
2009-12-01,618321
2010-01-01,635887
2010-02-01,637149
2010-03-01,637822
2010-04-01,645485
2010-05-01,640630
2010-06-01,651007
2010-07-01,657328
2010-08-01,648859
2010-09-01,643384
2010-10-01,638844
2010-11-01,638011
2010-12-01,629421
2011-01-01,625549
2011-02-01,629496
2011-03-01,625635
2011-04-01,634156
2011-05-01,630927
2011-06-01,639670
2011-07-01,646191
2011-08-01,639164
2011-09-01,632689
2011-10-01,631912
2011-11-01,630558
2011-12-01,622506
2012-01-01,616201
2012-02-01,620078
2012-03-01,620770
2012-04-01,621788
2012-05-01,622270
2012-06-01,631399
2012-07-01,633996
2012-08-01,623837
2012-09-01,623437
2012-10-01,620545
2012-11-01,616018
2012-12-01,611402
2013-01-01,611739
2013-02-01,611323
2013-03-01,608919
2013-04-01,615513
2013-05-01,618671
2013-06-01,627406
2013-07-01,635302
2013-08-01,624486
2013-09-01,621894
2013-10-01,615079
2013-11-01,616185
2013-12-01,608517
2014-01-01,607228
2014-02-01,613918
2014-03-01,610879
2014-04-01,614966
2014-05-01,614231
2014-06-01,624910
2014-07-01,632757
2014-08-01,623933
2014-09-01,613965
2014-10-01,611772
2014-11-01,613777
2014-12-01,604449
2015-01-01,605792
2015-02-01,608987
2015-03-01,604798
2015-04-01,614260
2015-05-01,611495
2015-06-01,616813
2015-07-01,623528
2015-08-01,612448
2015-09-01,604811
2015-10-01,603619
2015-11-01,604733
2015-12-01,597448
2016-01-01,599814
2016-02-01,607235
2016-03-01,605425
2016-04-01,612757
2016-05-01,608734
2016-06-01,619189
2016-07-01,627332
2016-08-01,616048
2016-09-01,615996
2016-10-01,612921
2016-11-01,613415
2016-12-01,607063
2017-01-01,615595
2017-02-01,618317
2017-03-01,617379
2017-04-01,623941
2017-05-01,624959
2017-06-01,635553
2017-07-01,638786
2017-08-01,628470
2017-09-01,623076
2017-10-01,621202
2017-11-01,620607
2017-12-01,612709
2018-01-01,611255
2018-02-01,617118
2018-03-01,615217
2018-04-01,623717
2018-05-01,622209
2018-06-01,635870
2018-07-01,640523
2018-08-01,629550
2018-09-01,621922
2018-10-01,625298
2018-11-01,622841
2018-12-01,619527
2019-01-01,617320
2019-02-01,620285
2019-03-01,618680
2019-04-01,620522
2019-05-01,625326
2019-06-01,634223
2019-07-01,643432
2019-08-01,635263
2019-09-01,627812
2019-10-01,630624
2019-11-01,632174
2019-12-01,629159
2020-01-01,628959
2020-02-01,633162
2020-03-01,594881
2020-04-01,585198
2020-05-01,586306
2020-06-01,605382
2020-07-01,612517
2020-08-01,603939
2020-09-01,592107
2020-10-01,595392
2020-11-01,595152
2020-12-01,583483
2021-01-01,586711
2021-02-01,588167
2021-03-01,588071
2021-04-01,593993
2021-05-01,596693
2021-06-01,607974
2021-07-01,615264
2021-08-01,603048
2021-09-01,594340
2021-10-01,596344
2021-11-01,595394
2021-12-01,589442
2022-01-01,589896
2022-02-01,594609
2022-03-01,594064
2022-04-01,598268
2022-05-01,602258
2022-06-01,611258
2022-07-01,613608
2022-08-01,611379
2022-09-01,598096
2022-10-01,598248
2022-11-01,593342
2022-12-01,590742
2023-01-01,595664
2023-02-01,603120
2023-03-01,601624
2023-04-01,603324
2023-05-01,605989
2023-06-01,619839
2023-07-01,624700
2023-08-01,617379
2023-09-01,606929
2023-10-01,608568
