"Date","COLINC3LFN"
2020-10-01,2514
2020-11-01,2371
2020-12-01,2452
2021-01-01,2270
2021-02-01,2220
2021-03-01,2234
2021-04-01,2232
2021-05-01,2189
2021-06-01,2246
2021-07-01,2278
2021-08-01,2269
2021-09-01,2187
2021-10-01,2329
2021-11-01,2182
2021-12-01,2267
2022-01-01,2205
2022-02-01,2208
2022-03-01,2171
2022-04-01,2133
2022-05-01,2222
2022-06-01,2252
2022-07-01,2302
2022-08-01,2258
2022-09-01,2156
2022-10-01,2239
2022-11-01,2100
2022-12-01,2195
2023-01-01,2095
2023-02-01,2159
2023-03-01,2181
2023-04-01,2157
2023-05-01,2239
2023-06-01,2239
2023-07-01,2232
2023-08-01,2282
2023-09-01,2198
2023-10-01,2210
