"Date","LASMT261982000000006"
1997-11-01,2247092
1997-12-01,2248524
1998-01-01,2250103
1998-02-01,2252157
1998-03-01,2254346
1998-04-01,2256548
1998-05-01,2259136
1998-06-01,2262452
1998-07-01,2218058
1998-08-01,2271851
1998-09-01,2277711
1998-10-01,2283736
1998-11-01,2289418
1998-12-01,2294551
1999-01-01,2299180
1999-02-01,2303554
1999-03-01,2307793
1999-04-01,2311482
1999-05-01,2314120
1999-06-01,2315977
1999-07-01,2317503
1999-08-01,2319048
1999-09-01,2320627
1999-10-01,2321680
1999-11-01,2321963
1999-12-01,2320934
2000-01-01,2318395
2000-02-01,2314810
2000-03-01,2311154
2000-04-01,2308015
2000-05-01,2305044
2000-06-01,2301205
2000-07-01,2295683
2000-08-01,2289074
2000-09-01,2282838
2000-10-01,2278488
2000-11-01,2276535
2000-12-01,2276455
2001-01-01,2276821
2001-02-01,2275672
2001-03-01,2271923
2001-04-01,2265725
2001-05-01,2258480
2001-06-01,2251791
2001-07-01,2247089
2001-08-01,2244390
2001-09-01,2242595
2001-10-01,2240620
2001-11-01,2237698
2001-12-01,2234070
2002-01-01,2230233
2002-02-01,2226716
2002-03-01,2223674
2002-04-01,2221399
2002-05-01,2220188
2002-06-01,2219779
2002-07-01,2219408
2002-08-01,2218727
2002-09-01,2218308
2002-10-01,2218505
2002-11-01,2219311
2002-12-01,2220159
2003-01-01,2221271
2003-02-01,2222821
2003-03-01,2224120
2003-04-01,2224207
2003-05-01,2222469
2003-06-01,2219332
2003-07-01,2215252
2003-08-01,2210668
2003-09-01,2206045
2003-10-01,2202386
2003-11-01,2200254
2003-12-01,2199417
2004-01-01,2199107
2004-02-01,2198894
2004-03-01,2199160
2004-04-01,2199715
2004-05-01,2200439
2004-06-01,2201511
2004-07-01,2203556
2004-08-01,2206276
2004-09-01,2208517
2004-10-01,2209117
2004-11-01,2207837
2004-12-01,2205695
2005-01-01,2203251
2005-02-01,2200820
2005-03-01,2198941
2005-04-01,2198133
2005-05-01,2197740
2005-06-01,2196654
2005-07-01,2194260
2005-08-01,2190533
2005-09-01,2186135
2005-10-01,2181710
2005-11-01,2178151
2005-12-01,2175680
2006-01-01,2174319
2006-02-01,2173770
2006-03-01,2173356
2006-04-01,2172654
2006-05-01,2171983
2006-06-01,2171541
2006-07-01,2171334
2006-08-01,2171745
2006-09-01,2172530
2006-10-01,2172992
2006-11-01,2172254
2006-12-01,2169575
2007-01-01,2165162
2007-02-01,2159806
2007-03-01,2153968
2007-04-01,2148147
2007-05-01,2142826
2007-06-01,2138329
2007-07-01,2134736
2007-08-01,2131837
2007-09-01,2129395
2007-10-01,2127190
2007-11-01,2124547
2007-12-01,2121342
2008-01-01,2117733
2008-02-01,2113851
2008-03-01,2110351
2008-04-01,2107764
2008-05-01,2106065
2008-06-01,2104784
2008-07-01,2103133
2008-08-01,2100451
2008-09-01,2096268
2008-10-01,2090277
2008-11-01,2082737
2008-12-01,2074205
2009-01-01,2079569
2009-02-01,2085123
2009-03-01,2091304
2009-04-01,2097691
2009-05-01,2103477
2009-06-01,2108405
2009-07-01,2098015
2009-08-01,2087035
2009-09-01,2076757
2009-10-01,2068567
2009-11-01,2063792
2009-12-01,2062528
2010-01-01,2063339
2010-02-01,2064157
2010-03-01,2063580
2010-04-01,2061417
2010-05-01,2058145
2010-06-01,2054462
2010-07-01,2051299
2010-08-01,2038600
2010-09-01,2026971
2010-10-01,2016152
2010-11-01,2005798
2010-12-01,1996019
2011-01-01,1987754
2011-02-01,1986180
2011-03-01,1974920
2011-04-01,1979965
2011-05-01,1985028
2011-06-01,1989728
2011-07-01,1993913
2011-08-01,1997673
2011-09-01,2000993
2011-10-01,2003764
2011-11-01,2005456
2011-12-01,2005825
2012-01-01,2005020
2012-02-01,2003937
2012-03-01,2003344
2012-04-01,2003169
2012-05-01,2003811
2012-06-01,2005582
2012-07-01,2008372
2012-08-01,2012039
2012-09-01,2016394
2012-10-01,2020683
2012-11-01,2024369
2012-12-01,2027283
2013-01-01,2029586
2013-02-01,2031691
2013-03-01,2034071
2013-04-01,2037446
2013-05-01,2041484
2013-06-01,2045244
2013-07-01,2047800
2013-08-01,2048035
2013-09-01,2046119
2013-10-01,2043502
2013-11-01,2041421
2013-12-01,2039950
2014-01-01,2038643
2014-02-01,2037257
2014-03-01,2035438
2014-04-01,2032682
2014-05-01,2029358
2014-06-01,2026379
2014-07-01,2024098
2014-08-01,2022830
2014-09-01,2021905
2014-10-01,2019888
2014-11-01,2016154
2014-12-01,2011761
2015-01-01,2008059
2015-02-01,2005815
2015-03-01,2005650
2015-04-01,2007306
2015-05-01,2009674
2015-06-01,2011971
2015-07-01,2014009
2015-08-01,2015961
2015-09-01,2018613
2015-10-01,2023433
2015-11-01,2030955
2015-12-01,2040225
2016-01-01,2049826
2016-02-01,2058750
2016-03-01,2066405
2016-04-01,2072841
2016-05-01,2078307
2016-06-01,2082932
2016-07-01,2087024
2016-08-01,2090926
2016-09-01,2094867
2016-10-01,2098551
2016-11-01,2101796
2016-12-01,2104660
2017-01-01,2129737
2017-02-01,2131427
2017-03-01,2132469
2017-04-01,2133778
2017-05-01,2136145
2017-06-01,2139619
2017-07-01,2143929
2017-08-01,2148020
2017-09-01,2150816
2017-10-01,2152016
2017-11-01,2151942
2017-12-01,2151580
2018-01-01,2157281
2018-02-01,2159487
2018-03-01,2162558
2018-04-01,2164878
2018-05-01,2165936
2018-06-01,2166104
2018-07-01,2165978
2018-08-01,2167000
2018-09-01,2170030
2018-10-01,2174944
2018-11-01,2180994
2018-12-01,2186636
2019-01-01,2190322
2019-02-01,2191905
2019-03-01,2192428
2019-04-01,2192921
2019-05-01,2193488
2019-06-01,2193921
2019-07-01,2193893
2019-08-01,2193001
2019-09-01,2191148
2019-10-01,2188135
2019-11-01,2183913
2019-12-01,2178070
2020-01-01,2170406
2020-02-01,2160571
2020-03-01,2148949
2020-04-01,1943570
2020-05-01,2201514
2020-06-01,2134591
2020-07-01,2135507
2020-08-01,2109307
2020-09-01,2116423
2020-10-01,2105236
2020-11-01,2105513
2020-12-01,2069402
2021-01-01,2101503
2021-02-01,2101183
2021-03-01,2104789
2021-04-01,2110901
2021-05-01,2114424
2021-06-01,2118725
2021-07-01,2119233
2021-08-01,2119439
2021-09-01,2117852
2021-10-01,2117842
2021-11-01,2118601
2021-12-01,2120578
2022-01-01,2123124
2022-02-01,2124318
2022-03-01,2123343
2022-04-01,2120536
2022-05-01,2116153
2022-06-01,2110974
2022-07-01,2105978
2022-08-01,2102667
2022-09-01,2101026
2022-10-01,2100714
2022-11-01,2101324
2022-12-01,2101880
2023-01-01,2102185
2023-02-01,2103147
2023-03-01,2107249
2023-04-01,2111538
2023-05-01,2119220
2023-06-01,2128132
2023-07-01,2139186
2023-08-01,2152823
2023-09-01,2168981
2023-10-01,2177737
